architecture,experiment,reasoner,samples,completed_samples,timeout_samples,skipped_samples,skipped_rate_percent,failed_or_other_samples,completion_rate_percent,timeout_rate_percent,failed_or_other_rate_percent
physical,distributed-ontology,hermit,18,0,0,17,94.44444444444444,1,0.0,0.0,5.555555555555555
physical,distributed-ontology,jfact,18,0,0,17,94.44444444444444,1,0.0,0.0,5.555555555555555
physical,distributed-ontology,konclude,18,0,0,17,94.44444444444444,1,0.0,0.0,5.555555555555555
physical,distributed-ontology,openllet,18,0,0,17,94.44444444444444,1,0.0,0.0,5.555555555555555
physical,distributed-ontology,rdfs,18,0,0,17,94.44444444444444,1,0.0,0.0,5.555555555555555
physical,reasoning-hardware,hermit,225,24,15,186,82.66666666666667,0,10.666666666666668,6.666666666666667,0.0
physical,reasoning-hardware,jfact,225,21,15,189,84.0,0,9.333333333333334,6.666666666666667,0.0
physical,reasoning-hardware,konclude,225,139,10,76,33.77777777777778,0,61.77777777777778,4.444444444444445,0.0
physical,reasoning-hardware,openllet,225,154,10,61,27.111111111111114,0,68.44444444444444,4.444444444444445,0.0
physical,reasoning-hardware,rdfs,225,96,14,115,51.11111111111111,0,42.66666666666667,6.222222222222222,0.0
physical,scale-out,hermit,9,0,3,6,66.66666666666666,0,0.0,33.33333333333333,0.0
physical,scale-out,jfact,9,0,3,6,66.66666666666666,0,0.0,33.33333333333333,0.0
physical,scale-out,konclude,10,1,1,6,60.0,2,10.0,10.0,20.0
physical,scale-out,openllet,10,1,1,6,60.0,2,10.0,10.0,20.0
physical,scale-out,rdfs,9,0,1,6,66.66666666666666,2,0.0,11.11111111111111,22.22222222222222
