reasoner,role,dimension,dimension_value,samples,reasoning_ms_median,process_cpu_ms_median,current_rss_kib_median
owlrl,cloud,rule_count,0,3,13679.581779,14598.591222,1306164.0
owlrl,cloud,rule_count,100,3,28764.343671,29613.694946,1129440.0
owlrl,cloud,rule_count,25,3,20259.640902,21946.971215,1199632.0
owlrl,cloud,rule_count,50,3,23781.339487,24796.552333,1134512.0
owlrl,cloud,target_triples,25000,3,13282.121685,13702.021248,763956.0
owlrl,cloud,target_triples,50000,3,35053.955353,35815.283154,984436.0
owlrl,cloud,users,1000,3,26191.338206,28053.313336,1020416.0
owlrl,cloud,users,500,3,14162.032755,14884.235589,1117248.0
rdfs,cloud,rule_count,0,3,4472.311482,5508.043142,1430772.0
rdfs,cloud,rule_count,100,3,9823.061023,10402.608782,1131456.0
rdfs,cloud,rule_count,25,3,7025.321404,8311.07659,1232272.0
rdfs,cloud,rule_count,250,3,20725.958893,21953.177466,1125360.0
rdfs,cloud,rule_count,50,3,8040.199765,8701.169652,1136560.0
rdfs,cloud,target_triples,25000,3,5098.226402,5306.650493,648720.0
rdfs,cloud,target_triples,50000,3,30886.68379,31823.039463,716592.0
rdfs,cloud,users,1000,3,8005.136391,9184.958885,1114208.0
rdfs,cloud,users,2500,3,21831.458527,24933.915994,1117916.0
rdfs,cloud,users,500,3,4288.456961,4643.40049,1124336.0
rdfs,edge1,rule_count,0,3,24078.345856,27231.871078,169152.0
rdfs,edge1,rule_count,25,3,36137.635867,38978.723689,179644.0
rdfs,edge1,rule_count,50,3,39964.90768,43107.464576,184772.0
rdfs,edge1,target_triples,25000,3,28806.526835,30621.94411,163256.0
rdfs,edge1,users,500,3,19998.467692,22412.564023,176820.0
rdfs,edge2,rule_count,0,3,24253.33993,27737.273416,160520.0
rdfs,edge2,rule_count,25,3,35387.860183,39086.504461,180856.0
rdfs,edge2,rule_count,50,3,40224.359365,43527.656966,183420.0
rdfs,edge2,target_triples,25000,3,28758.687039,30962.549317,142196.0
rdfs,edge2,users,500,3,19895.251173,22553.640947,177776.0
rdfs,edge3,rule_count,0,3,24292.451918,27090.701957,161396.0
rdfs,edge3,rule_count,25,3,35905.942257,38738.93029,187616.0
rdfs,edge3,rule_count,50,3,40079.926181,42957.802363,188776.0
rdfs,edge3,target_triples,25000,3,28697.599242,30464.815812,139348.0
rdfs,edge3,users,500,3,19776.645011,22225.040543,180568.0
rdfs,fog,rule_count,0,3,24430.086153,27208.007304,166848.0
rdfs,fog,rule_count,25,3,36001.137368,38819.655177,187620.0
rdfs,fog,rule_count,50,3,40164.267383,43085.755703,183776.0
rdfs,fog,target_triples,25000,3,28710.904668,30477.800693,183096.0
rdfs,fog,users,500,3,19748.374414,22192.210069,180492.0
rdfs_owlrl,cloud,rule_count,0,3,24622.954484,25343.989257,1255520.0
rdfs_owlrl,cloud,rule_count,25,3,40869.817862,42186.158102,1146720.0
rdfs_owlrl,cloud,target_triples,25000,3,30578.617766,31013.202262,740784.0
rdfs_owlrl,cloud,users,500,3,25514.295346,26464.804383,1117248.0
