architecture,synthetic_users,reasoner,repetition,node_count,status,censored,query_count,source_query_executions,federation_fanout_factor,prepare_wall_ms,node_generation_ms_sum,node_reasoning_ms_sum,max_node_reasoning_ms,query_wall_ms,prepare_transport_retry_count,query_transport_retry_count,node_query_batch_count_sum,max_node_query_batch_count,node_query_ms_sum,node_prepare_process_cpu_ms_sum,node_query_process_cpu_ms_sum,total_process_cpu_ms,max_node_prepare_peak_rss_kib,max_node_query_peak_rss_kib,max_node_peak_rss_kib,sum_node_prepare_current_rss_kib,sum_node_query_current_rss_kib,max_sum_node_current_rss_kib,prepare_request_bytes_sum,prepare_response_bytes_sum,query_request_bytes_sum,query_response_bytes_sum,total_wall_ms,logical_input_triples,aggregate_fragment_triples,aggregate_output_triples,aggregate_inferred_triples,max_fragment_triples,max_fragment_fraction,storage_replication_factor,error,result_validation_rate,reference_status,reference_error,timeout_seconds
physical,0,rdfs,1,5,completed,False,115,269,2.3391304347826085,3207.070625,1978.5752439999999,7173.128861,2625.464831,3702.032133,0,0,5,1,9133.261009,9575.255643,9132.861808,18708.117451,1654552,1654552,1654552,2369680,2326000,2369680,825,3383,3411,301151,6909.102758,7966,33330,52247,18917,7204,0.9043434597037409,4.184032136580467,,1.0,completed,,
physical,0,rdfs,2,5,completed,False,115,269,2.3391304347826085,2950.484628,3534.614264,5967.9400430000005,1583.662444,2861.288259,0,0,5,1,7806.088148000002,9950.111316,7813.6109369999995,17763.722253,1654552,1654552,1654552,2299888,2283876,2299888,825,3378,3411,301144,5811.772887,7966,33330,52247,18917,7204,0.9043434597037409,4.184032136580467,,1.0,completed,,
physical,0,rdfs,3,5,completed,False,115,269,2.3391304347826085,2462.414272,2190.641727,6084.832036,1692.350796,2733.467298,0,0,5,1,7608.238954,8818.119691,7616.931452,16435.051143,1654552,1656608,1656608,2282468,2273284,2282468,825,3383,3411,301135,5195.88157,7966,33330,52247,18917,7204,0.9043434597037409,4.184032136580467,,1.0,completed,,
physical,0,owlrl,1,5,completed,False,115,269,2.3391304347826085,7684.248397,2351.29507,26651.047873,6843.806959,2747.857014,0,0,5,1,7250.74633,29423.508397999998,7257.049727,36680.558125,1680032,1702944,1702944,2296236,2318964,2318964,830,3393,3411,302905,10432.105411,7966,33330,68306,34976,7204,0.9043434597037409,4.184032136580467,,1.0,completed,,
physical,0,owlrl,2,5,completed,False,115,269,2.3391304347826085,7645.009239,3194.5219740000002,26563.709543,6869.829422,2789.979176,0,0,5,1,7656.801429,30185.449474,7665.920597,37851.370071,1705632,1705632,1705632,2306064,2303808,2306064,830,3391,3411,302919,10434.988415,7966,33330,68306,34976,7204,0.9043434597037409,4.184032136580467,,1.0,completed,,
physical,0,owlrl,3,5,completed,False,115,269,2.3391304347826085,7704.208063,2239.828457,26609.365895,6855.917756,2858.977186,0,0,5,1,7500.429026000001,29372.321606,7509.602271,36881.923877,1705632,1705632,1705632,2303552,2303044,2303552,830,3393,3411,302898,10563.185249,7966,33330,68306,34976,7204,0.9043434597037409,4.184032136580467,,1.0,completed,,
physical,0,rdfs_owlrl,1,5,completed,False,115,269,2.3391304347826085,14102.223544,2430.045217,50909.096276000004,13204.869473,2946.998906,0,0,5,1,8477.627631,53969.536342,8485.213703,62454.750045,1705632,1705632,1705632,2301540,2298460,2301540,855,3430,3411,308600,17049.22245,7966,33330,100787,67457,7204,0.9043434597037409,4.184032136580467,,1.0,completed,,
physical,0,rdfs_owlrl,2,5,completed,False,115,269,2.3391304347826085,13946.822147,2307.318201,51327.024756,13246.268955,2851.024587,0,0,5,1,9208.37058,54049.183344,9210.916206,63260.09955,1705632,1705632,1705632,2298460,2297692,2298460,855,3428,3411,308587,16797.846734,7966,33330,100787,67457,7204,0.9043434597037409,4.184032136580467,,1.0,completed,,
physical,0,rdfs_owlrl,3,5,completed,False,115,269,2.3391304347826085,14146.563569,2331.250435,51099.157547999996,13194.779974,2952.754199,0,0,5,1,8038.24379,53933.628524,8045.926697,61979.555221,1705632,1705632,1705632,2297696,2296160,2297696,855,3430,3411,308587,17099.317768,7966,33330,100787,67457,7204,0.9043434597037409,4.184032136580467,,1.0,completed,,
physical,500,rdfs,1,5,completed,False,115,269,2.3391304347826085,6482.229828,5841.40091,14740.096972,4434.815793,10069.572289,0,0,5,1,26309.73688399999,23473.189052,26322.777004,49795.966056,1705632,1705632,1705632,2204048,2203800,2204048,835,3429,3411,1602445,16551.802117,43071,73855,117694,43839,18999,0.4411088667548931,1.7147268463699472,,1.0,completed,,
