architecture,endpoint,role,profile,dimension,dimension_value,reasoner,repetition,synthetic_users,target_triples,rule_count,padding_mode,status,error,prepare_wall_ms,generation_ms,reasoning_ms,input_triples,output_triples,inferred_triples,closure_expansion_factor,process_cpu_ms,current_rss_kib,peak_rss_kib,disk_read_bytes,disk_write_bytes,timeout_seconds
physical,http://127.0.0.1:8391,cloud,triples-25000,target_triples,25000,rdfs,1,100,25000,25,neutral,completed,,5143.382736,28.271223,4936.982647,25000,53699,28699,2.14796,5140.603837,582356,910744,0,0,45.0
physical,http://127.0.0.1:8391,cloud,triples-25000,target_triples,25000,rdfs,2,100,25000,25,neutral,completed,,5308.451354,28.427583,5098.226402,25000,53699,28699,2.14796,5306.650493,648720,910744,0,0,45.0
physical,http://127.0.0.1:8391,cloud,triples-25000,target_triples,25000,rdfs,3,100,25000,25,neutral,completed,,5441.284229,27.544397,5208.303153,25000,53699,28699,2.14796,5439.446889,707864,910744,0,0,45.0
physical,http://127.0.0.1:8391,cloud,triples-25000,target_triples,25000,owlrl,1,100,25000,25,neutral,completed,,13682.740278,37.525217,13060.204274,25000,78638,53638,3.14552,13679.358714,708160,910744,0,0,45.0
physical,http://127.0.0.1:8391,cloud,triples-25000,target_triples,25000,owlrl,2,100,25000,25,neutral,completed,,13705.164363,27.347978,13452.488684,25000,78638,53638,3.14552,13702.021248,763956,910744,0,0,45.0
physical,http://127.0.0.1:8391,cloud,triples-25000,target_triples,25000,owlrl,3,100,25000,25,neutral,completed,,14177.577522,49.696167,13282.121685,25000,78638,53638,3.14552,14174.310278,763968,910744,0,0,45.0
physical,http://127.0.0.1:8391,cloud,triples-25000,target_triples,25000,rdfs_owlrl,1,100,25000,25,neutral,completed,,30996.918235,57.096215,30543.098507,25000,138247,113247,5.52988,30990.697964,747840,910744,0,0,45.0
physical,http://127.0.0.1:8391,cloud,triples-25000,target_triples,25000,rdfs_owlrl,2,100,25000,25,neutral,completed,,31238.823206,27.459189,30971.856392,25000,138247,113247,5.52988,31230.207019,740784,910744,0,0,45.0
physical,http://127.0.0.1:8391,cloud,triples-25000,target_triples,25000,rdfs_owlrl,3,100,25000,25,neutral,completed,,31030.062262,84.087094,30578.617766,25000,138247,113247,5.52988,31013.202262,722640,910744,0,0,45.0
physical,http://127.0.0.1:8391,cloud,triples-50000,target_triples,50000,rdfs,1,100,50000,25,neutral,completed,,31878.84142,27.721468,30926.312277,50000,128699,78699,2.57398,31872.772494,716592,910744,0,0,45.0
physical,http://127.0.0.1:8391,cloud,triples-50000,target_triples,50000,rdfs,2,100,50000,25,neutral,completed,,31513.194942,123.147756,30886.68379,50000,128699,78699,2.57398,31507.610328,716592,910744,0,0,45.0
physical,http://127.0.0.1:8391,cloud,triples-50000,target_triples,50000,rdfs,3,100,50000,25,neutral,completed,,31828.869897,30.943638,30484.354945,50000,128699,78699,2.57398,31823.039463,713568,910744,0,0,45.0
