architecture,node_count,reasoner,repetition,query_round,endpoint,role,query_id,category,tier,duration_ms,result_count,ask_result,result_digest
physical,1,rdfs,1,1,http://127.0.0.1:8391,cloud,EXT-Q15,identity_consent,core,2982.859884,0,,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
physical,1,rdfs,1,1,http://127.0.0.1:8391,cloud,EXT-Q26,security_identity,core,933.39672,504,,568ca4d1de868bca17daf5210eada824632ea4de68b88ee9e12e09afc2485226
physical,1,rdfs,1,1,http://127.0.0.1:8391,cloud,EXT-Q74,audit_temporal,core,941.722611,0,,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
physical,1,rdfs,1,1,http://127.0.0.1:8391,cloud,EXT-Q73,audit_temporal,core,635.933652,4622,,41552ed96ec73b9580c2c7465ea892f6f0de07340dcda6fcb907d964e3341c1a
physical,1,rdfs,1,1,http://127.0.0.1:8391,cloud,EXT-Q16,identity_consent,core,634.414671,0,,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
physical,1,rdfs,1,1,http://127.0.0.1:8391,cloud,BASE-Q10,observability,domain,392.042842,504,,10d067607b3e689df21e19820fec64c4ef53e0b5eb53b9a713732558aa7f0071
physical,1,rdfs,1,1,http://127.0.0.1:8391,cloud,EXT-Q71,audit_temporal,core,10.511542,0,,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
physical,1,rdfs,1,1,http://127.0.0.1:8391,cloud,EXT-Q01,semantic_schema,core,6.054794,6,,66d5edbbdc2282624ffec271a4a523a20fdc7331b886d2884edf86a885532bcc
physical,1,rdfs,1,1,http://127.0.0.1:8391,cloud,EXT-Q22,security_identity,domain,370.696798,0,,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
physical,1,rdfs,1,1,http://127.0.0.1:8391,cloud,EXT-Q25,data_lifecycle,domain,160.173261,0,,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
physical,1,rdfs,1,1,http://127.0.0.1:8391,cloud,EXT-Q52,decision,core,8.136573,32,,e4cc722951be46789eb75264501a53ba96774192510017491e856efc76f0aa19
physical,1,rdfs,1,1,http://127.0.0.1:8391,cloud,EXT-Q18,identity_consent,core,134.229689,0,,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
physical,1,rdfs,1,1,http://127.0.0.1:8391,cloud,EXT-Q14,identity_consent,core,112.464101,0,,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
physical,1,rdfs,1,1,http://127.0.0.1:8391,cloud,EXT-Q13,identity_consent,core,113.057527,0,,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
physical,1,rdfs,1,1,http://127.0.0.1:8391,cloud,EXT-Q24,data_lifecycle,core,105.69385,502,,cc6ab0f000aa5583447de693f3ecb6b7f61b8b4d68cc162137de3731343157b2
physical,1,rdfs,1,1,http://127.0.0.1:8391,cloud,BASE-Q16,federation,core,5.416733,3,,550eeca87dc96402bbed090f1737eaacfb6b27d2290401797018cbcf303b8147
physical,1,rdfs,1,1,http://127.0.0.1:8391,cloud,BASE-Q20,identity_consent,domain,88.982776,504,,3884a662286545e0d04aac3e476e174a688df12eb4de66112e76c1dcceba3b3a
physical,1,rdfs,1,1,http://127.0.0.1:8391,cloud,BASE-Q09,wellbeing,domain,87.629033,506,,03fb5c704e3543a11dd248a2d894ccb7afaefd99ca08beba2ce6c544912d41c7
physical,1,rdfs,1,1,http://127.0.0.1:8391,cloud,BASE-Q23,topology,core,77.055884,501,,e05e7092a4cf6ac418481aaf8b197928d727f7b1a4599f0dc4726278b0a68a0e
physical,1,rdfs,1,1,http://127.0.0.1:8391,cloud,BASE-Q01,identity_consent,core,69.007689,504,,ff3ce94d275620cecc9b21539d797cc3a2da2f115be4d99cf02e00d53299236f
physical,1,rdfs,1,1,http://127.0.0.1:8391,cloud,EXT-Q12,identity_consent,core,71.653295,528,,52290a2b1307cd4d9af1d7e2de22fce9b588933c38babca6118cebd24243116f
physical,1,rdfs,1,1,http://127.0.0.1:8391,cloud,EXT-Q11,identity_consent,core,71.61939,525,,7a184c1471f857803678b1c098023801815a3697bad5e739cdc7e868fe057fa7
physical,1,rdfs,1,1,http://127.0.0.1:8391,cloud,BASE-Q03,wellbeing,domain,49.292947,504,,0f2fd59ce6dac99c6d4b906f7fa3533d34f49d248f3a0542a4ae6fa554f74947
physical,1,rdfs,1,1,http://127.0.0.1:8391,cloud,EXT-Q19,identity_consent,core,61.807652,0,,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
physical,1,rdfs,1,1,http://127.0.0.1:8391,cloud,EXT-Q08,policy_governance,core,52.702817,1089,,cb9e0103c9327f1c4691ec9d7612deebd04c0e73140f23e2a6209bb8af1efc51
physical,1,rdfs,1,1,http://127.0.0.1:8391,cloud,EXT-Q54,decision,domain,47.265494,0,,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
physical,1,rdfs,1,1,http://127.0.0.1:8391,cloud,EXT-Q43,trust,core,8.099202,12,,09e36e91c47b761f1f036d024c43d3a5da0aa11bcdec5c62a51401f663593326
physical,1,rdfs,1,1,http://127.0.0.1:8391,cloud,EXT-Q10,policy_governance,core,38.740821,0,,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
physical,1,rdfs,1,1,http://127.0.0.1:8391,cloud,EXT-Q35,data_lifecycle,core,35.731736,506,,e159afa16c0ecbbd3cf7fcff418e7e26ab45563c465ecee53dd366752837dae4
physical,1,rdfs,1,1,http://127.0.0.1:8391,cloud,EXT-Q80,validation,core,31.680408,13,,0cefa3a1036bceb704603183fe7520794c05d65538c743c77d376c43ebdc560c
physical,1,rdfs,1,1,http://127.0.0.1:8391,cloud,EXT-Q70,audit_temporal,core,30.737204,204,,01824916f48e90d6c6df066f2950c4d8a2e2d6f71ba4af556d43e8921ae41930
