architecture,node_count,reasoner,repetition,query_round,status,error,synthetic_users,target_triples_per_replica,rule_count,query_count,query_wall_ms,queries_per_second,query_latency_p50_ms,query_latency_p95_ms,query_latency_p99_ms,result_digest_consistent,assignment_strategy,assignment_counts,predicted_max_node_query_ms,prepare_wall_ms_excluded,max_node_reasoning_ms_excluded,logical_input_triples,aggregate_replica_triples,storage_replication_factor,node_query_cpu_ms_sum,node_query_process_cpu_ms_sum,max_peak_rss_kib,sum_current_rss_kib,query_request_bytes_sum,query_response_bytes_sum
physical,1,rdfs,1,1,completed,,500,50000,25,115,9156.179897,12.559823124235411,7.798622,377.10061119999995,940.55698626,True,calibrated-longest-processing-time,cloud:115,9633.725446000008,7516.307704,7036.780978,50000,50000,1,9152.189795,9151.448566,910744,439444,1389,25589
physical,1,rdfs,1,2,completed,,500,50000,25,115,9011.186324,12.761915675155226,7.627138,256.26912119999946,995.9916875399999,True,calibrated-longest-processing-time,cloud:115,9633.725446000008,7516.307704,7036.780978,50000,50000,1,9007.113791,9006.897742,910744,434404,1388,25595
physical,1,rdfs,1,3,completed,,500,50000,25,115,9034.879319,12.728448929933073,7.492598,296.84462819999965,954.3834148,True,calibrated-longest-processing-time,cloud:115,9633.725446000008,7516.307704,7036.780978,50000,50000,1,9030.863448,9030.266876,910744,433396,1390,25587
physical,1,rdfs,2,1,completed,,500,50000,25,115,8996.802886,12.78231850327103,6.922475,309.02087509999967,959.6944999,True,calibrated-longest-processing-time,cloud:115,9491.942343999996,7375.612394,6924.809849,50000,50000,1,8991.861524,8992.537714,910744,426340,1389,25590
physical,1,rdfs,2,2,completed,,500,50000,25,115,9236.219863,12.450981213719944,7.679061,330.1009006999997,1076.65519528,True,calibrated-longest-processing-time,cloud:115,9491.942343999996,7375.612394,6924.809849,50000,50000,1,9232.541021000001,9226.709283,910744,424324,1389,25597
physical,1,rdfs,2,3,completed,,500,50000,25,115,8974.324215,12.814335346586315,7.752364,259.35409489999944,961.47986986,True,calibrated-longest-processing-time,cloud:115,9491.942343999996,7375.612394,6924.809849,50000,50000,1,8970.073379,8970.107121,910744,424324,1390,25580
physical,1,rdfs,3,1,completed,,500,50000,25,115,9061.464359,12.691105481839703,7.513812,300.8370531999996,961.51510784,True,calibrated-longest-processing-time,cloud:115,9486.765517,7501.10422,6982.552883,50000,50000,1,9056.796122,9057.293988,910744,388684,1390,25583
physical,1,rdfs,3,2,completed,,500,50000,25,115,9007.636077,12.766945624461867,7.197814,305.11457699999966,938.64979104,True,calibrated-longest-processing-time,cloud:115,9486.765517,7501.10422,6982.552883,50000,50000,1,9002.573512,8998.461345,910744,388684,1389,25588
physical,1,rdfs,3,3,completed,,500,50000,25,115,9166.240684,12.546037570313487,7.569563,315.5715328999997,1055.8191318,True,calibrated-longest-processing-time,cloud:115,9486.765517,7501.10422,6982.552883,50000,50000,1,9162.313758,9161.559947,910744,387676,1390,25584
physical,1,owlrl,1,1,completed,,500,50000,25,115,9648.452174,11.919010212839552,6.657494,297.8165587999996,1347.4994655199998,True,calibrated-longest-processing-time,cloud:115,10153.480234999994,20398.221699,19851.498641,50000,50000,1,9643.719697,9643.724088,910744,395168,1389,25588
physical,1,owlrl,1,2,completed,,500,50000,25,115,9909.394443,11.605149099825777,7.462179,334.45457679999976,1449.8300102599997,True,calibrated-longest-processing-time,cloud:115,10153.480234999994,20398.221699,19851.498641,50000,50000,1,9905.573829,9904.487066,910744,393156,1390,25586
physical,1,owlrl,1,3,timeout,"RuntimeError: Distributed phase 'experiment-balanced-queries' failed on role=cloud endpoint=http://127.0.0.1:8391 after 8885.81 ms: HTTPError: HTTP Error 408: Request Timeout; worker_response={""error"": ""worker phase exceeded 8.9s"", ""timeout"": true}; query_ids=EXT-Q15,EXT-Q74,EXT-Q26,EXT-Q73,EXT-Q16,BASE-Q10,EXT-Q22,EXT-Q25,EXT-Q18,EXT-Q13,EXT-Q14,EXT-Q24,...(+103)",,,,,,,,,,,,,,20398.221699,,,,,,,,,,
physical,1,owlrl,2,0,skipped_after_timeout,"RuntimeError: Distributed phase 'experiment-balanced-queries' failed on role=cloud endpoint=http://127.0.0.1:8391 after 8885.81 ms: HTTPError: HTTP Error 408: Request Timeout; worker_response={""error"": ""worker phase exceeded 8.9s"", ""timeout"": true}; query_ids=EXT-Q15,EXT-Q74,EXT-Q26,EXT-Q73,EXT-Q16,BASE-Q10,EXT-Q22,EXT-Q25,EXT-Q18,EXT-Q13,EXT-Q14,EXT-Q24,...(+103)",,,,,,,,,,,,,,,,,,,,,,,,
