attempted,category,completed,completion_percent,current_rss_kib_median,current_rss_kib_p95,current_rss_kib_sum,engine_duration_ms_median,engine_duration_ms_p95,engine_duration_ms_sum,latency_ms_median,latency_ms_p95,latency_ms_sum,process_cpu_ms_median,process_cpu_ms_p95,process_cpu_ms_sum,reasoner,request_bytes_median,request_bytes_p95,request_bytes_sum,response_bytes_median,response_bytes_p95,response_bytes_sum
44,topology,30,68.18181818181819,424276.0,567476.0,,4.707495,77.299381,764.6201130000001,23644.6002935,48202.091289549986,780354.800159,4.7446585,77.3412116,766.000934,rdfs,58.0,58.0,1740.0,555.0,561.0,16680.0
44,semantic_schema,30,68.18181818181819,423772.0,567476.0,,5.7837945,16.55445965,246.461147,23644.074288000003,48202.35881249999,780459.433102,5.81925,16.59295405,247.4804,rdfs,57.0,57.0,1710.0,561.0,566.0,16859.0
53,observability,37,69.81132075471699,423268.0,567476.0,,8.029608,466.7676752,3042.385013,23234.517334,46713.81787579998,963221.285674,8.069198,466.748049,3043.237913,rdfs,58.0,58.0,2146.0,560.0,572.0,20797.0
183,identity_consent,131,71.5846994535519,424276.0,527660.0,,63.813277,1827.8079875,38224.773092,24340.357277,49900.413376,3627478.421622,63.865463,1828.4980070000001,38240.184271,rdfs,57.0,58.0,7518.0,567.0,574.0,74327.0
83,data_lifecycle,58,69.87951807228916,424780.0,567476.0,,5.624681,160.71658065,2817.276234,24073.3515635,45986.297205049996,1538519.547952,5.660508500000001,160.75514775,2819.394001,rdfs,57.0,57.0,3306.0,560.0,570.0,32656.0
63,security_identity,41,65.07936507936508,424276.0,567476.0,,9.236291,12719.865166,79774.959664,23639.373164,45499.724133,1097716.9865920001,9.272865,12717.807768,79761.094049,rdfs,57.0,57.0,2337.0,563.0,581.0,23282.0
63,context_zones,41,65.07936507936508,424276.0,567476.0,,53.771376,170.800643,2212.679373,23688.445152,45549.517092,1099739.014671,53.811188,170.826772,2214.095335,rdfs,57.0,58.0,2352.0,564.0,569.0,23103.0
63,trust,42,66.66666666666667,423772.0,567476.0,,7.620862000000001,11.699432249999996,355.175123,23366.410714999998,45517.420828949995,1099901.869315,7.6575685,11.735338799999996,356.851045,rdfs,57.0,57.0,2394.0,552.0,555.0,23175.0
173,decision,121,69.94219653179191,424276.0,491876.0,,6.872868,46.813816,1591.582093,24369.397038,49223.166487,3351685.071403,6.913387,46.860121,1596.280056,rdfs,57.0,58.0,6925.0,554.0,560.0,67144.0
83,policy_governance,56,67.46987951807229,424780.0,567476.0,,13.950874,54.190042250000005,1272.829219,23917.6611625,45954.330493249996,1479289.131385,13.991612,54.2521415,1275.071219,rdfs,57.0,57.0,3192.0,567.0,570.0,31734.0
83,adaptation,56,67.46987951807229,424780.0,567476.0,,4.154195,18.256811,315.448401,23917.3053985,45954.0896715,1479338.76848,4.1927955,18.28983125,317.62403,rdfs,57.5,58.0,3220.0,556.5,561.0,31177.0
53,delegation,35,66.0377358490566,423268.0,567476.0,,4.029221,14.8787105,199.989955,23070.720157,45091.577156,913453.061214,4.069514,14.918208499999999,201.262052,rdfs,57.0,58.0,2010.0,556.0,563.0,19498.0
73,federation,49,67.12328767123287,424276.0,567476.0,,5.521575,10.031857999999987,310.960984,23697.417994,45791.116202599995,1290064.798555,5.559296,10.066515199999987,312.72272,rdfs,57.0,58.0,2814.0,556.0,558.2,27251.0
53,audit_temporal,35,66.0377358490566,424276.0,567476.0,,30.773537,985.8256481999999,12019.114849,23723.486837,45677.305096100004,925388.074607,30.808847,985.6241369999999,12023.181561,rdfs,57.0,57.0,1995.0,566.0,571.0,19781.0
43,validation,28,65.11627906976744,423772.0,567476.0,,16.900211,41.10968414999999,561.105006,23369.9826445,45329.46905125,738543.756908,16.924396,41.148167849999986,562.113039,rdfs,57.0,57.0,1596.0,559.5,561.0,15644.0
43,wellbeing,28,65.11627906976744,423772.0,567476.0,,84.259558,239.5802649,2652.340236,23571.967668999998,45518.65894165,741067.460244,84.2952425,239.6696806,2653.566074,rdfs,58.0,58.0,1624.0,561.5,568.0,15726.0
44,topology,22,50.0,419120.0,441984.0,,5.2205215,77.81881655,521.369082,21956.68734,37676.4644806,426394.235136,5.2574445,77.81160115,522.0933210000001,owlrl,66.0,72.0,1500.0,557.0,562.0,12266.0
44,semantic_schema,22,50.0,419120.0,441984.0,,5.199381499999999,16.082724250000002,169.053568,21966.8457195,37675.5716208,426459.221665,5.2395705,16.0792245,169.807149,owlrl,65.0,71.0,1478.0,562.0,567.0,12389.0
53,observability,26,49.056603773584904,420214.0,441984.0,,8.2365225,469.6518665,2471.7266990000003,19460.574395000003,37747.519258500004,487516.250481,8.2541625,469.33660475,2471.662622,owlrl,66.0,72.0,1770.0,561.0,573.0,14644.0
183,identity_consent,80,43.71584699453552,426780.0,444000.0,,63.618452500000004,925.8126154999943,22281.094708,19344.4550025,30594.7261662,1430248.109365,63.586129,928.3696082999943,22284.967807,owlrl,66.0,72.0,5377.0,568.0,575.05,45467.0
83,data_lifecycle,37,44.57831325301205,425776.0,443984.0,,5.768322,172.04818419999978,1856.5190850000001,18785.012703,37647.921486399995,654584.673059,5.812305,171.97461259999977,1857.132365,owlrl,65.0,71.0,2471.0,561.0,571.0,20881.0
63,security_identity,28,44.44444444444444,422784.0,443294.4,,9.641217999999999,12736.51780985,66118.895493,18738.8058865,37804.5339951,556426.729729,9.687615000000001,12729.9397326,66093.082184,owlrl,65.0,71.0,1874.0,564.0,582.0,15930.0
63,context_zones,27,42.857142857142854,423932.0,443395.2,,31.4262,169.36664720000002,1242.433047,18542.662084,37509.3112847,519030.138037,31.460001,169.39278489999998,1242.966291,owlrl,66.0,72.0,1820.0,564.0,569.7,15215.0
63,trust,28,44.44444444444444,424604.0,441984.0,,6.8836425000000006,37.33532064999994,631.522605,17740.843423500002,37492.50174265,519535.282196,6.922414,37.37935539999994,632.440945,owlrl,65.0,71.0,1874.0,553.0,556.0,15484.0
173,decision,74,42.774566473988436,426780.0,443980.0,,6.58769,46.6226773,744.307186,19237.1374815,33026.61783299997,1346956.303129,6.622254,46.66565865,746.989612,owlrl,65.0,72.0,4962.0,555.0,559.7,41122.0
83,policy_governance,36,43.373493975903614,425966.0,443980.0,,13.553170999999999,53.49254025,707.803527,18709.218638,37365.09634975,652914.705646,13.587956,53.554821000000004,709.050998,owlrl,65.0,71.0,2406.0,568.0,571.0,20435.0
83,adaptation,36,43.373493975903614,426276.0,443980.0,,4.4371725,18.1649095,245.730516,18708.9758935,37364.37384775,652990.1278509999,4.4783985,18.203619749999998,247.008858,owlrl,66.0,72.0,2426.0,558.0,562.0,20082.0
53,delegation,24,45.283018867924525,422448.0,441984.0,,4.094262499999999,14.877237,148.026057,16859.3954165,37568.9410174,454295.145511,4.128962,14.9117521,148.816208,owlrl,66.0,72.0,1619.0,557.0,564.0,13404.0
73,federation,32,43.83561643835616,425776.0,442882.2,,5.291342500000001,7.14040305,181.590544,18608.270398,37436.75627665,586450.06969,5.2969775,7.17707,182.654693,owlrl,66.0,72.0,2156.0,557.0,558.0,17835.0
53,audit_temporal,24,45.283018867924525,422450.0,441984.0,,30.680196000000002,1707.9700474499994,10499.027989,18685.757254,37567.9904379,464709.322238,30.7018805,1707.5542340999996,10495.177709,owlrl,65.0,71.0,1608.0,566.0,573.0,13585.0
43,validation,20,46.51162790697674,420468.0,441984.0,,13.0471425,32.64145645,300.05402,19219.285404000002,37641.78136975,399293.458922,13.075087499999999,32.6351389,300.662072,owlrl,65.0,71.0,1342.0,558.5,562.0,11187.0
43,wellbeing,20,46.51162790697674,420410.0,441984.0,,84.15759349999999,351.9140684000001,2474.38116,19218.014987000002,37721.1321787,401676.395687,84.2033065,352.05000650000005,2474.396637,owlrl,66.0,72.0,1362.0,564.0,569.0,11256.0
44,topology,12,27.272727272727273,435216.0,456373.4,,3.9809345,78.31002045,265.544334,11617.5401875,22006.1558065,122287.81673600001,4.016519,78.36182505,265.962538,rdfs_owlrl,66.0,72.0,816.0,561.5,567.0,6751.0
