category,layout,query_ms,reasoner,repetition
identity_consent,sharded,1265.3629019999994,rdfs,1
policy_governance,sharded,224.666607,rdfs,1
validation,sharded,76.44317699999999,rdfs,1
semantic_schema,sharded,32.15844,rdfs,1
security_identity,sharded,642.479956,rdfs,1
observability,sharded,329.00046,rdfs,1
topology,sharded,109.72923,rdfs,1
trust,sharded,308.856617,rdfs,1
decision,sharded,1347.2915620000006,rdfs,1
federation,sharded,520.025803,rdfs,1
data_lifecycle,sharded,676.7031240000001,rdfs,1
wellbeing,sharded,200.545241,rdfs,1
delegation,sharded,458.57364700000005,rdfs,1
adaptation,sharded,505.55886000000004,rdfs,1
context_zones,sharded,402.6666350000001,rdfs,1
audit_temporal,sharded,1020.03033,rdfs,1
identity_consent,sharded,1493.2483889999994,rdfs,2
policy_governance,sharded,170.39025900000001,rdfs,2
validation,sharded,84.08029400000001,rdfs,2
semantic_schema,sharded,68.994456,rdfs,2
security_identity,sharded,828.5679180000001,rdfs,2
observability,sharded,188.47348000000002,rdfs,2
topology,sharded,111.91600700000001,rdfs,2
trust,sharded,308.993564,rdfs,2
decision,sharded,1465.2921710000005,rdfs,2
federation,sharded,581.9100859999999,rdfs,2
data_lifecycle,sharded,525.193305,rdfs,2
wellbeing,sharded,199.53318499999997,rdfs,2
delegation,sharded,304.5218650000001,rdfs,2
adaptation,sharded,502.5038099999999,rdfs,2
context_zones,sharded,401.036707,rdfs,2
audit_temporal,sharded,849.805571,rdfs,2
identity_consent,sharded,1387.638384,rdfs,3
policy_governance,sharded,218.93981399999998,rdfs,3
validation,sharded,78.09202099999999,rdfs,3
semantic_schema,sharded,31.58596,rdfs,3
security_identity,sharded,741.3468539999999,rdfs,3
observability,sharded,188.188867,rdfs,3
topology,sharded,110.178933,rdfs,3
trust,sharded,309.95724700000005,rdfs,3
decision,sharded,1349.3848730000002,rdfs,3
federation,sharded,520.781344,rdfs,3
data_lifecycle,sharded,670.6373449999999,rdfs,3
wellbeing,sharded,198.843482,rdfs,3
delegation,sharded,304.85479000000004,rdfs,3
adaptation,sharded,505.5989370000001,rdfs,3
context_zones,sharded,401.118597,rdfs,3
audit_temporal,sharded,851.192513,rdfs,3
identity_consent,sharded,1238.473604,owlrl,1
policy_governance,sharded,170.808948,owlrl,1
validation,sharded,113.466584,owlrl,1
semantic_schema,sharded,32.300645,owlrl,1
security_identity,sharded,494.635857,owlrl,1
observability,sharded,189.615459,owlrl,1
topology,sharded,115.09974700000001,owlrl,1
trust,sharded,306.42584,owlrl,1
decision,sharded,1466.9773979999998,owlrl,1
federation,sharded,519.5926039999999,owlrl,1
data_lifecycle,sharded,525.718116,owlrl,1
wellbeing,sharded,200.45025900000002,owlrl,1
delegation,sharded,304.584142,owlrl,1
adaptation,sharded,503.21328800000003,owlrl,1
context_zones,sharded,401.05443,owlrl,1
audit_temporal,sharded,1077.955789,owlrl,1
identity_consent,sharded,1239.1883849999997,owlrl,2
policy_governance,sharded,170.488089,owlrl,2
validation,sharded,64.166258,owlrl,2
semantic_schema,sharded,31.576594,owlrl,2
security_identity,sharded,625.6017659999999,owlrl,2
observability,sharded,320.32509100000004,owlrl,2
topology,sharded,112.33406299999999,owlrl,2
trust,sharded,458.453672,owlrl,2
decision,sharded,1346.0765909999998,owlrl,2
federation,sharded,521.007247,owlrl,2
data_lifecycle,sharded,528.203323,owlrl,2
wellbeing,sharded,201.18379799999997,owlrl,2
delegation,sharded,305.534607,owlrl,2
adaptation,sharded,508.2721020000001,owlrl,2
context_zones,sharded,404.2953780000001,owlrl,2
audit_temporal,sharded,953.119654,owlrl,2
identity_consent,sharded,1380.712851,owlrl,3
policy_governance,sharded,192.302899,owlrl,3
validation,sharded,68.92077900000001,owlrl,3
semantic_schema,sharded,38.508832000000005,owlrl,3
security_identity,sharded,655.2606999999999,owlrl,3
observability,sharded,316.615645,owlrl,3
topology,sharded,110.76778399999999,owlrl,3
trust,sharded,306.16839600000003,owlrl,3
decision,sharded,1340.972132,owlrl,3
federation,sharded,527.8606190000002,owlrl,3
data_lifecycle,sharded,538.0049740000001,owlrl,3
wellbeing,sharded,201.307871,owlrl,3
delegation,sharded,306.45703000000003,owlrl,3
adaptation,sharded,502.028139,owlrl,3
context_zones,sharded,400.81241400000005,owlrl,3
audit_temporal,sharded,947.9138250000001,owlrl,3
identity_consent,sharded,1257.667545,rdfs_owlrl,1
policy_governance,sharded,196.372339,rdfs_owlrl,1
validation,sharded,67.37312,rdfs_owlrl,1
semantic_schema,sharded,34.593395,rdfs_owlrl,1
security_identity,sharded,1097.256428,rdfs_owlrl,1
observability,sharded,319.065887,rdfs_owlrl,1
topology,sharded,110.255581,rdfs_owlrl,1
trust,sharded,310.61298800000003,rdfs_owlrl,1
decision,sharded,1358.056677,rdfs_owlrl,1
federation,sharded,522.113562,rdfs_owlrl,1
data_lifecycle,sharded,677.971013,rdfs_owlrl,1
wellbeing,sharded,206.135782,rdfs_owlrl,1
delegation,sharded,312.72875600000003,rdfs_owlrl,1
adaptation,sharded,517.494771,rdfs_owlrl,1
context_zones,sharded,569.6596880000001,rdfs_owlrl,1
audit_temporal,sharded,1015.6538109999999,rdfs_owlrl,1
identity_consent,sharded,1274.2307250000001,rdfs_owlrl,2
policy_governance,sharded,182.009917,rdfs_owlrl,2
validation,sharded,66.022413,rdfs_owlrl,2
semantic_schema,sharded,35.297395,rdfs_owlrl,2
