layer,layout,query_ms,reasoner,repetition
Cloud,sharded,346.70344900000003,rdfs,1
Fog,sharded,396.550202,rdfs,1
Edge,sharded,7376.8389400000015,rdfs,1
Cloud,sharded,337.691765,rdfs,2
Fog,sharded,380.483723,rdfs,2
Edge,sharded,7366.285579,rdfs,2
Cloud,sharded,342.0865160000001,rdfs,3
Fog,sharded,260.51324,rdfs,3
Edge,sharded,7265.740205000001,rdfs,3
Cloud,sharded,330.34797100000003,owlrl,1
Fog,sharded,265.122426,owlrl,1
Edge,sharded,7064.902312999999,owlrl,1
Cloud,sharded,279.324942,owlrl,2
Fog,sharded,392.219148,owlrl,2
Edge,sharded,7118.282527999997,owlrl,2
Cloud,sharded,314.978839,owlrl,3
Fog,sharded,387.6036459999999,owlrl,3
Edge,sharded,7132.032405,owlrl,3
Cloud,sharded,313.1969620000001,rdfs_owlrl,1
Fog,sharded,409.46774,rdfs_owlrl,1
Edge,sharded,7850.346640999996,rdfs_owlrl,1
Cloud,sharded,298.36012300000004,rdfs_owlrl,2
Fog,sharded,396.484686,rdfs_owlrl,2
Edge,sharded,7711.668888999997,rdfs_owlrl,2
Cloud,sharded,341.603872,rdfs_owlrl,3
Fog,sharded,395.19120100000004,rdfs_owlrl,3
Edge,sharded,7723.995253000002,rdfs_owlrl,3
Cloud,replicated,602.641199,rdfs,1
Fog,replicated,498.7760390000001,rdfs,1
Edge,replicated,2210.124525,rdfs,1
Cloud,replicated,583.23523,rdfs,2
Fog,replicated,406.253351,rdfs,2
Edge,replicated,2107.3236049999996,rdfs,2
Cloud,replicated,597.1568080000001,rdfs,3
Fog,replicated,535.9960350000001,rdfs,3
Edge,replicated,2121.2252049999993,rdfs,3
Cloud,replicated,650.232822,owlrl,1
Fog,replicated,786.6782040000002,owlrl,1
Edge,replicated,1821.3460110000003,owlrl,1
Cloud,replicated,581.086871,owlrl,2
Fog,replicated,895.8955730000001,owlrl,2
Edge,replicated,1577.5984409999996,owlrl,2
Cloud,replicated,659.7504389999997,owlrl,3
Fog,replicated,891.951647,owlrl,3
Edge,replicated,1433.2339009999994,owlrl,3
Cloud,replicated,617.8096109999998,rdfs_owlrl,1
Fog,replicated,585.5804989999999,rdfs_owlrl,1
Edge,replicated,1833.7611189999998,rdfs_owlrl,1
Cloud,replicated,670.32863,rdfs_owlrl,2
Fog,replicated,464.566631,rdfs_owlrl,2
Edge,replicated,2227.541595,rdfs_owlrl,2
Cloud,replicated,591.991105,rdfs_owlrl,3
Fog,replicated,473.72264900000005,rdfs_owlrl,3
Edge,replicated,2245.591879,rdfs_owlrl,3
