category,layer,layout,median,n,p95,reasoner,role,total
adaptation,Cloud,replicated,2.7665975,12,3.7761617,owlrl,cloud,31.95738
audit_temporal,Cloud,replicated,27.3413025,6,49.806849,owlrl,cloud,168.801567
context_zones,Cloud,replicated,6.371482,9,15.764186999999998,owlrl,cloud,68.815719
data_lifecycle,Cloud,replicated,7.278652,12,22.033696199999994,owlrl,cloud,115.245943
decision,Cloud,replicated,7.8841525,24,33.78009464999998,owlrl,cloud,289.997546
delegation,Cloud,replicated,4.6192125,6,5.3004685,owlrl,cloud,27.841134
federation,Cloud,replicated,6.535118499999999,12,43.04087369999995,owlrl,cloud,145.949042
identity_consent,Cloud,replicated,7.390284,27,20.889251299999998,owlrl,cloud,230.90511
observability,Cloud,replicated,4.571823,6,8.829967,owlrl,cloud,29.186526
policy_governance,Cloud,replicated,14.371286,9,86.95213299999998,owlrl,cloud,299.061118
security_identity,Cloud,replicated,6.184729,12,45.85333815,owlrl,cloud,172.196346
semantic_schema,Cloud,replicated,10.361278,6,17.201487999999998,owlrl,cloud,61.957426
topology,Cloud,replicated,4.2398495,6,7.39823875,owlrl,cloud,27.521345
trust,Cloud,replicated,7.433546,9,13.239844399999999,owlrl,cloud,77.601113
validation,Cloud,replicated,32.728802,3,46.606766900000004,owlrl,cloud,113.329192
wellbeing,Cloud,replicated,5.3610489999999995,6,6.939161,owlrl,cloud,30.703625
adaptation,Edge,replicated,24.140259,3,24.245793,owlrl,edge1,72.028278
audit_temporal,Edge,replicated,44.966685,3,45.856002000000004,owlrl,edge1,135.880167
context_zones,Edge,replicated,15.241908,3,15.4990074,owlrl,edge1,45.969519
data_lifecycle,Edge,replicated,11.180777,3,11.4218105,owlrl,edge1,33.668758
decision,Edge,replicated,51.5827775,6,127.2863515,owlrl,edge1,389.575739
identity_consent,Edge,replicated,24.2024075,6,30.531305500000002,owlrl,edge1,145.410259
observability,Edge,replicated,35.381778,3,35.4170949,owlrl,edge1,106.168204
policy_governance,Edge,replicated,34.609019,3,34.6276355,owlrl,edge1,103.828464
semantic_schema,Edge,replicated,20.577333,3,20.6814495,owlrl,edge1,61.833295
topology,Edge,replicated,10.973296,3,10.9764631,owlrl,edge1,32.888537
trust,Edge,replicated,20.664704,3,20.7017867,owlrl,edge1,61.679221999999996
validation,Edge,replicated,48.95937,3,49.2633369,owlrl,edge1,147.164481
wellbeing,Edge,replicated,20.179407,3,20.2484748,owlrl,edge1,60.212797
adaptation,Edge,replicated,26.464889,3,26.586955999999997,owlrl,edge2,79.258316
data_lifecycle,Edge,replicated,18.362222,3,18.4250888,owlrl,edge2,54.670851
delegation,Edge,replicated,62.142463,3,62.5705633,owlrl,edge2,186.80513
federation,Edge,replicated,28.851444,3,29.1762108,owlrl,edge2,86.337703
identity_consent,Edge,replicated,29.924741,9,31.8492034,owlrl,edge2,219.495907
observability,Edge,replicated,24.300481,3,24.766248100000002,owlrl,edge2,72.93961
policy_governance,Edge,replicated,50.184675999999996,6,160.408662,owlrl,edge2,443.54253800000004
security_identity,Edge,replicated,19.677556,3,20.6072398,owlrl,edge2,60.033519999999996
trust,Edge,replicated,28.104092,3,156.1546925,owlrl,edge2,226.572314
validation,Edge,replicated,66.878611,3,67.0959781,owlrl,edge2,200.769
wellbeing,Edge,replicated,28.559537,3,28.861621099999997,owlrl,edge2,85.941538
adaptation,Edge,replicated,22.010249,3,22.3417667,owlrl,edge3,66.38797100000001
audit_temporal,Edge,replicated,122.006153,3,122.1535028,owlrl,edge3,366.10005
context_zones,Edge,replicated,20.508229,3,21.021497200000002,owlrl,edge3,62.024281
data_lifecycle,Edge,replicated,25.862366,3,27.5916008,owlrl,edge3,79.433414
decision,Edge,replicated,32.676578,9,107.65593859999996,owlrl,edge3,378.688216
delegation,Edge,replicated,12.57996,3,12.8365437,owlrl,edge3,37.967659
federation,Edge,replicated,24.637734,3,24.7841019,owlrl,edge3,73.968796
identity_consent,Edge,replicated,24.516466,6,35.3017435,owlrl,edge3,145.642628
observability,Edge,replicated,36.857861,3,36.908844200000004,owlrl,edge3,110.60456400000001
policy_governance,Edge,replicated,55.58107,3,56.181253899999994,owlrl,edge3,167.219543
semantic_schema,Edge,replicated,29.25724,3,29.3313397,owlrl,edge3,87.685961
topology,Edge,replicated,21.984527,3,22.1194946,owlrl,edge3,66.036786
validation,Edge,replicated,24.888197,3,27.8364512,owlrl,edge3,77.744337
