category,layout,median,n,p95,query_id,reasoner,role,total
wellbeing,replicated,5.403453,3,6.891477,BASE-Q03,owlrl,cloud,17.778911
identity_consent,replicated,3.476163,3,3.5220089999999997,BASE-Q06,owlrl,cloud,10.301224
observability,replicated,8.279896,3,8.9399812,BASE-Q07,owlrl,cloud,24.903165
wellbeing,replicated,3.207465,3,6.248330999999999,BASE-Q11,owlrl,cloud,12.924714
adaptation,replicated,3.001601,3,3.1037339,BASE-Q12,owlrl,cloud,9.100896
adaptation,replicated,3.767267,3,3.7850564,BASE-Q13,owlrl,cloud,11.24486
federation,replicated,6.970109,3,72.9523688,BASE-Q16,owlrl,cloud,92.850018
context_zones,replicated,3.122685,3,3.2467959,BASE-Q18,owlrl,cloud,8.797544
decision,replicated,7.734743,3,23.8554971,BASE-Q21,owlrl,cloud,40.86988
topology,replicated,5.486809,3,7.7805247,BASE-Q23,owlrl,cloud,18.785461
identity_consent,replicated,2.970718,3,2.9923495,BASE-Q25,owlrl,cloud,8.873251
observability,replicated,1.389109,3,1.5192417999999999,BASE-Q26,owlrl,cloud,4.283361
adaptation,replicated,1.771342,3,1.8859741,BASE-Q27,owlrl,cloud,5.400619
topology,replicated,2.805013,3,3.1752874,BASE-Q29,owlrl,cloud,8.735884
federation,replicated,1.682531,3,1.7591336,BASE-Q30,owlrl,cloud,5.115582
identity_consent,replicated,3.446316,3,3.4558749,BASE-Q31,owlrl,cloud,10.30275
decision,replicated,3.281684,3,16.3178636,BASE-Q32,owlrl,cloud,24.316159000000003
semantic_schema,replicated,17.048593,3,17.232067,EXT-Q05,owlrl,cloud,50.980777
semantic_schema,replicated,3.485634,3,3.9871058999999995,EXT-Q06,owlrl,cloud,10.976649
policy_governance,replicated,55.987192,3,102.4346035,EXT-Q08,owlrl,cloud,218.788677
policy_governance,replicated,14.371286,3,14.4354848,EXT-Q09,owlrl,cloud,43.094522999999995
identity_consent,replicated,15.915958,3,29.2820911,EXT-Q11,owlrl,cloud,54.846008
identity_consent,replicated,7.153493,3,7.3666049000000005,EXT-Q13,owlrl,cloud,21.378432
identity_consent,replicated,16.767631,3,22.0668571,EXT-Q15,owlrl,cloud,51.044555
identity_consent,replicated,9.049999,3,9.5571202,EXT-Q18,owlrl,cloud,27.291882
identity_consent,replicated,8.681546,3,8.830676,EXT-Q19,owlrl,cloud,26.12618
identity_consent,replicated,5.532276,3,9.3809415,EXT-Q21,owlrl,cloud,20.740828
security_identity,replicated,45.054153,3,46.6525233,EXT-Q22,owlrl,cloud,115.945098
data_lifecycle,replicated,7.073212,3,7.443004,EXT-Q24,owlrl,cloud,21.470272
data_lifecycle,replicated,10.547711,3,10.8568925,EXT-Q25,owlrl,cloud,31.89513
security_identity,replicated,6.207729,3,6.2199987,EXT-Q26,owlrl,cloud,18.59082
security_identity,replicated,3.939052,3,4.1993671,EXT-Q29,owlrl,cloud,11.712032
security_identity,replicated,4.808405,3,16.580436499999998,EXT-Q30,owlrl,cloud,25.948396
data_lifecycle,replicated,4.315609,3,4.4306488,EXT-Q33,owlrl,cloud,13.054239
