layout,median,metric,n,p95,reasoner,stage,suite,synthetic_users,total
sharded,6490.693537000001,total_wall_ms,3,7383.193153900001,rdfs,,scalability,10,20443.310228000002
sharded,8688.42886,total_wall_ms,3,9223.348216,rdfs,,scalability,100,26583.719178
sharded,25719.997321999996,total_wall_ms,3,26059.192329800004,rdfs,,scalability,500,76784.901659
sharded,57737.412207999994,total_wall_ms,3,58483.445434299996,rdfs,,scalability,1000,173893.21062099998
replicated,3905.0099769999997,total_wall_ms,3,4026.8945731,rdfs,,scalability,10,11795.039162
replicated,6282.05658,total_wall_ms,3,6432.830336399999,rdfs,,scalability,100,18930.587785
replicated,29931.62833700001,total_wall_ms,3,30350.808962000006,rdfs,,scalability,500,89659.28873600002
replicated,64368.847002,total_wall_ms,3,66040.4008893,rdfs,,scalability,1000,194494.055023
sharded,1704.038592,max_node_reasoning_ms,3,1753.9414248,rdfs,,scalability,10,5107.186997000001
sharded,2147.867703,max_node_reasoning_ms,3,2157.5443356,rdfs,,scalability,100,6453.610144
sharded,4456.913923,max_node_reasoning_ms,3,4546.7152066,rdfs,,scalability,500,13439.250473
sharded,7435.160255,max_node_reasoning_ms,3,7714.9236548,rdfs,,scalability,1000,22594.770838
replicated,1909.175999,max_node_reasoning_ms,3,1916.9287322,rdfs,,scalability,10,5728.501246
replicated,3448.389794,max_node_reasoning_ms,3,3448.7485448,rdfs,,scalability,100,10230.844666
replicated,10465.703476,max_node_reasoning_ms,3,10497.774742,rdfs,,scalability,500,31399.47461
replicated,20368.550265,max_node_reasoning_ms,3,20390.1012663,rdfs,,scalability,1000,61056.554507
sharded,4147.449372000001,query_wall_ms,3,4838.673062700001,rdfs,,scalability,10,13068.353469000001
sharded,5549.152586000001,query_wall_ms,3,6015.104087000001,rdfs,,scalability,100,17108.727840000003
sharded,19234.896179999996,query_wall_ms,3,19569.090240600002,rdfs,,scalability,500,57372.443348999994
sharded,47062.279899999994,query_wall_ms,3,47778.7259764,rdfs,,scalability,1000,141731.125244
replicated,1612.237383,query_wall_ms,3,1615.7004849,rdfs,,scalability,10,4824.416063
replicated,2183.008528,query_wall_ms,3,2189.8379962,rdfs,,scalability,100,6395.087017
replicated,17061.275317000007,query_wall_ms,3,17146.276561300005,rdfs,,scalability,500,51256.11050500002
replicated,39670.507274999996,query_wall_ms,3,40492.103051399994,rdfs,,scalability,1000,119682.778112
sharded,11955.513993,total_wall_ms,3,12237.0376416,owlrl,,scalability,10,36076.928122
sharded,16485.581811,total_wall_ms,3,16530.2242725,owlrl,,scalability,100,49021.396701000005
