category,layout,median,n,p95,query_id,reasoner,total
identity_consent,replicated,31.785148,3,31.8812311,BASE-Q01,owlrl,95.312185
topology,replicated,21.984527,3,22.1194946,BASE-Q02,owlrl,66.036786
wellbeing,replicated,5.403453,3,6.891477,BASE-Q03,owlrl,17.778911
decision,replicated,21.588686,3,21.7672847,BASE-Q04,owlrl,64.780796
wellbeing,replicated,20.179407,3,20.2484748,BASE-Q05,owlrl,60.212797
identity_consent,replicated,3.476163,3,3.5220089999999997,BASE-Q06,owlrl,10.301224
observability,replicated,8.279896,3,8.9399812,BASE-Q07,owlrl,24.903165
observability,replicated,36.857861,3,36.908844200000004,BASE-Q08,owlrl,110.60456400000001
wellbeing,replicated,28.559537,3,28.861621099999997,BASE-Q09,owlrl,85.941538
observability,replicated,35.381778,3,35.4170949,BASE-Q10,owlrl,106.168204
wellbeing,replicated,3.207465,3,6.248330999999999,BASE-Q11,owlrl,12.924714
adaptation,replicated,3.001601,3,3.1037339,BASE-Q12,owlrl,9.100896
adaptation,replicated,3.767267,3,3.7850564,BASE-Q13,owlrl,11.24486
delegation,replicated,16.305167,3,16.6392335,BASE-Q14,owlrl,49.269741
identity_consent,replicated,11.652445,3,11.6679943,BASE-Q15,owlrl,34.868056
federation,replicated,6.970109,3,72.9523688,BASE-Q16,owlrl,92.850018
context_zones,replicated,17.210518,3,17.643318999999998,BASE-Q17,owlrl,52.054259
context_zones,replicated,3.122685,3,3.2467959,BASE-Q18,owlrl,8.797544
decision,replicated,35.277204,3,131.7316701,BASE-Q19,owlrl,212.262686
identity_consent,replicated,30.517222,3,30.534122200000002,BASE-Q20,owlrl,91.435611
decision,replicated,7.734743,3,23.8554971,BASE-Q21,owlrl,40.86988
adaptation,replicated,24.140259,3,24.245793,BASE-Q22,owlrl,72.028278
topology,replicated,5.486809,3,7.7805247,BASE-Q23,owlrl,18.785461
federation,replicated,28.851444,3,29.1762108,BASE-Q24,owlrl,86.337703
identity_consent,replicated,2.970718,3,2.9923495,BASE-Q25,owlrl,8.873251
observability,replicated,1.389109,3,1.5192417999999999,BASE-Q26,owlrl,4.283361
adaptation,replicated,1.771342,3,1.8859741,BASE-Q27,owlrl,5.400619
identity_consent,replicated,61.596389,3,61.807421899999994,BASE-Q28,owlrl,184.46537
topology,replicated,2.805013,3,3.1752874,BASE-Q29,owlrl,8.735884
federation,replicated,1.682531,3,1.7591336,BASE-Q30,owlrl,5.115582
identity_consent,replicated,3.446316,3,3.4558749,BASE-Q31,owlrl,10.30275
decision,replicated,3.281684,3,16.3178636,BASE-Q32,owlrl,24.316159000000003
observability,replicated,24.300481,3,24.766248100000002,BASE-Q33,owlrl,72.93961
topology,replicated,10.973296,3,10.9764631,BASE-Q34,owlrl,32.888537
delegation,replicated,62.142463,3,62.5705633,BASE-Q35,owlrl,186.80513
semantic_schema,replicated,29.25724,3,29.3313397,EXT-Q01,owlrl,87.685961
semantic_schema,replicated,20.577333,3,20.6814495,EXT-Q02,owlrl,61.833295
policy_governance,replicated,53.335815,3,181.8232314,EXT-Q03,owlrl,302.501926
policy_governance,replicated,55.58107,3,56.181253899999994,EXT-Q04,owlrl,167.219543
semantic_schema,replicated,17.048593,3,17.232067,EXT-Q05,owlrl,50.980777
semantic_schema,replicated,3.485634,3,3.9871058999999995,EXT-Q06,owlrl,10.976649
policy_governance,replicated,34.609019,3,34.6276355,EXT-Q07,owlrl,103.828464
policy_governance,replicated,55.987192,3,102.4346035,EXT-Q08,owlrl,218.788677
policy_governance,replicated,14.371286,3,14.4354848,EXT-Q09,owlrl,43.094522999999995
policy_governance,replicated,138.967371,3,139.2627537,EXT-Q10,owlrl,416.529519
identity_consent,replicated,15.915958,3,29.2820911,EXT-Q11,owlrl,54.846008
identity_consent,replicated,35.254174,3,35.311257399999995,EXT-Q12,owlrl,105.732448
