suite,reasoner,repetition,stage,added_category,calibration_reused,endpoint,role,tier_name,query_id,category,tier,status,censored,calibrated_query_ms,predicted_node_ms
cumulative,rdfs,1,1,topology,True,http://127.0.0.1:8391,cloud,cloud,BASE-Q02,topology,core,completed,False,5.028647,20.114588
cumulative,rdfs,1,1,topology,True,http://127.0.0.1:8391,cloud,cloud,BASE-Q23,topology,core,completed,False,5.028647,20.114588
cumulative,rdfs,1,1,topology,True,http://127.0.0.1:8391,cloud,cloud,BASE-Q29,topology,core,completed,False,5.028647,20.114588
cumulative,rdfs,1,1,topology,True,http://127.0.0.1:8391,cloud,cloud,BASE-Q34,topology,core,completed,False,5.028647,20.114588
cumulative,rdfs,1,2,semantic_schema,True,http://127.0.0.1:8391,cloud,cloud,EXT-Q01,semantic_schema,core,completed,False,7.308859,29.235436
cumulative,rdfs,1,2,semantic_schema,True,http://127.0.0.1:8391,cloud,cloud,EXT-Q02,semantic_schema,core,completed,False,7.308859,29.235436
cumulative,rdfs,1,2,semantic_schema,True,http://127.0.0.1:8391,cloud,cloud,EXT-Q05,semantic_schema,core,completed,False,7.308859,29.235436
cumulative,rdfs,1,2,semantic_schema,True,http://127.0.0.1:8391,cloud,cloud,EXT-Q06,semantic_schema,core,completed,False,7.308859,29.235436
cumulative,rdfs,1,2,semantic_schema,True,http://10.151.73.241:8391,fog,fog,BASE-Q29,topology,core,completed,False,21.888944,21.888944
cumulative,rdfs,1,2,semantic_schema,True,http://10.151.73.34:8391,edge1,edge,BASE-Q23,topology,core,completed,False,21.134445,21.134445
cumulative,rdfs,1,2,semantic_schema,True,http://10.151.73.143:8391,edge2,edge,BASE-Q34,topology,core,completed,False,22.083,22.083
cumulative,rdfs,1,2,semantic_schema,True,http://10.151.73.173:8391,edge3,edge,BASE-Q02,topology,core,completed,False,20.810248,20.810248
cumulative,rdfs,1,3,observability,True,http://127.0.0.1:8391,cloud,cloud,BASE-Q07,observability,core,completed,False,8.015372,49.427640999999994
cumulative,rdfs,1,3,observability,True,http://127.0.0.1:8391,cloud,cloud,BASE-Q08,observability,core,completed,False,8.015372,49.427640999999994
cumulative,rdfs,1,3,observability,True,http://127.0.0.1:8391,cloud,cloud,BASE-Q10,observability,domain,completed,False,8.015372,49.427640999999994
cumulative,rdfs,1,3,observability,True,http://127.0.0.1:8391,cloud,cloud,BASE-Q26,observability,core,completed,False,8.015372,49.427640999999994
cumulative,rdfs,1,3,observability,True,http://127.0.0.1:8391,cloud,cloud,EXT-Q06,semantic_schema,core,completed,False,7.308859,49.427640999999994
cumulative,rdfs,1,3,observability,True,http://127.0.0.1:8391,cloud,cloud,BASE-Q02,topology,core,completed,False,5.028647,49.427640999999994
cumulative,rdfs,1,3,observability,True,http://127.0.0.1:8391,cloud,cloud,BASE-Q23,topology,core,completed,False,5.028647,49.427640999999994
cumulative,rdfs,1,3,observability,True,http://10.151.73.241:8391,fog,fog,EXT-Q01,semantic_schema,core,completed,False,29.248833,29.248833
cumulative,rdfs,1,3,observability,True,http://10.151.73.34:8391,edge1,edge,EXT-Q02,semantic_schema,core,completed,False,29.248926,50.383371
cumulative,rdfs,1,3,observability,True,http://10.151.73.34:8391,edge1,edge,BASE-Q34,topology,core,completed,False,21.134445,50.383371
cumulative,rdfs,1,3,observability,True,http://10.151.73.143:8391,edge2,edge,BASE-Q33,observability,core,completed,False,34.712111,34.712111
cumulative,rdfs,1,3,observability,True,http://10.151.73.173:8391,edge3,edge,EXT-Q05,semantic_schema,core,completed,False,29.404611,50.214859000000004
cumulative,rdfs,1,3,observability,True,http://10.151.73.173:8391,edge3,edge,BASE-Q29,topology,core,completed,False,20.810248,50.214859000000004
cumulative,rdfs,1,4,identity_consent,True,http://127.0.0.1:8391,cloud,cloud,BASE-Q07,observability,core,completed,False,8.015372,109.96480099999998
cumulative,rdfs,1,4,identity_consent,True,http://127.0.0.1:8391,cloud,cloud,BASE-Q08,observability,core,completed,False,8.015372,109.96480099999998
cumulative,rdfs,1,4,identity_consent,True,http://127.0.0.1:8391,cloud,cloud,BASE-Q10,observability,domain,completed,False,8.015372,109.96480099999998
cumulative,rdfs,1,4,identity_consent,True,http://127.0.0.1:8391,cloud,cloud,BASE-Q26,observability,core,completed,False,8.015372,109.96480099999998
cumulative,rdfs,1,4,identity_consent,True,http://127.0.0.1:8391,cloud,cloud,EXT-Q06,semantic_schema,core,completed,False,7.308859,109.96480099999998
cumulative,rdfs,1,4,identity_consent,True,http://127.0.0.1:8391,cloud,cloud,BASE-Q01,identity_consent,core,completed,False,6.053716,109.96480099999998
cumulative,rdfs,1,4,identity_consent,True,http://127.0.0.1:8391,cloud,cloud,BASE-Q06,identity_consent,core,completed,False,6.053716,109.96480099999998
cumulative,rdfs,1,4,identity_consent,True,http://127.0.0.1:8391,cloud,cloud,BASE-Q15,identity_consent,core,completed,False,6.053716,109.96480099999998
cumulative,rdfs,1,4,identity_consent,True,http://127.0.0.1:8391,cloud,cloud,EXT-Q11,identity_consent,core,completed,False,6.053716,109.96480099999998
cumulative,rdfs,1,4,identity_consent,True,http://127.0.0.1:8391,cloud,cloud,EXT-Q12,identity_consent,core,completed,False,6.053716,109.96480099999998
cumulative,rdfs,1,4,identity_consent,True,http://127.0.0.1:8391,cloud,cloud,EXT-Q13,identity_consent,core,completed,False,6.053716,109.96480099999998
cumulative,rdfs,1,4,identity_consent,True,http://127.0.0.1:8391,cloud,cloud,EXT-Q14,identity_consent,core,completed,False,6.053716,109.96480099999998
cumulative,rdfs,1,4,identity_consent,True,http://127.0.0.1:8391,cloud,cloud,EXT-Q17,identity_consent,core,completed,False,6.053716,109.96480099999998
cumulative,rdfs,1,4,identity_consent,True,http://127.0.0.1:8391,cloud,cloud,EXT-Q20,identity_consent,core,completed,False,6.053716,109.96480099999998
cumulative,rdfs,1,4,identity_consent,True,http://127.0.0.1:8391,cloud,cloud,EXT-Q21,identity_consent,core,completed,False,6.053716,109.96480099999998
cumulative,rdfs,1,4,identity_consent,True,http://127.0.0.1:8391,cloud,cloud,BASE-Q02,topology,core,completed,False,5.028647,109.96480099999998
cumulative,rdfs,1,4,identity_consent,True,http://127.0.0.1:8391,cloud,cloud,BASE-Q34,topology,core,completed,False,5.028647,109.96480099999998
cumulative,rdfs,1,4,identity_consent,True,http://10.151.73.241:8391,fog,fog,EXT-Q01,semantic_schema,core,completed,False,29.248833,91.131537
cumulative,rdfs,1,4,identity_consent,True,http://10.151.73.241:8391,fog,fog,BASE-Q28,identity_consent,domain,completed,False,30.941352,91.131537
cumulative,rdfs,1,4,identity_consent,True,http://10.151.73.241:8391,fog,fog,EXT-Q19,identity_consent,core,completed,False,30.941352,91.131537
cumulative,rdfs,1,4,identity_consent,True,http://10.151.73.34:8391,edge1,edge,EXT-Q02,semantic_schema,core,completed,False,29.248926,108.343259
cumulative,rdfs,1,4,identity_consent,True,http://10.151.73.34:8391,edge1,edge,BASE-Q25,identity_consent,core,completed,False,28.979944,108.343259
cumulative,rdfs,1,4,identity_consent,True,http://10.151.73.34:8391,edge1,edge,EXT-Q16,identity_consent,core,completed,False,28.979944,108.343259
cumulative,rdfs,1,4,identity_consent,True,http://10.151.73.34:8391,edge1,edge,BASE-Q29,topology,core,completed,False,21.134445,108.343259
cumulative,rdfs,1,4,identity_consent,True,http://10.151.73.143:8391,edge2,edge,BASE-Q33,observability,core,completed,False,34.712111,90.289999
cumulative,rdfs,1,4,identity_consent,True,http://10.151.73.143:8391,edge2,edge,BASE-Q31,identity_consent,core,completed,False,27.788944,90.289999
cumulative,rdfs,1,4,identity_consent,True,http://10.151.73.143:8391,edge2,edge,EXT-Q18,identity_consent,core,completed,False,27.788944,90.289999
cumulative,rdfs,1,4,identity_consent,True,http://10.151.73.173:8391,edge3,edge,EXT-Q05,semantic_schema,core,completed,False,29.404611,107.839561
cumulative,rdfs,1,4,identity_consent,True,http://10.151.73.173:8391,edge3,edge,BASE-Q20,identity_consent,domain,completed,False,28.812351,107.839561
cumulative,rdfs,1,4,identity_consent,True,http://10.151.73.173:8391,edge3,edge,EXT-Q15,identity_consent,core,completed,False,28.812351,107.839561
cumulative,rdfs,1,4,identity_consent,True,http://10.151.73.173:8391,edge3,edge,BASE-Q23,topology,core,completed,False,20.810248,107.839561
cumulative,rdfs,1,5,data_lifecycle,True,http://127.0.0.1:8391,cloud,cloud,BASE-Q07,observability,core,completed,False,8.015372,132.79633299999995
cumulative,rdfs,1,5,data_lifecycle,True,http://127.0.0.1:8391,cloud,cloud,BASE-Q08,observability,core,completed,False,8.015372,132.79633299999995
cumulative,rdfs,1,5,data_lifecycle,True,http://127.0.0.1:8391,cloud,cloud,BASE-Q10,observability,domain,completed,False,8.015372,132.79633299999995
cumulative,rdfs,1,5,data_lifecycle,True,http://127.0.0.1:8391,cloud,cloud,BASE-Q26,observability,core,completed,False,8.015372,132.79633299999995
cumulative,rdfs,1,5,data_lifecycle,True,http://127.0.0.1:8391,cloud,cloud,EXT-Q06,semantic_schema,core,completed,False,7.308859,132.79633299999995
cumulative,rdfs,1,5,data_lifecycle,True,http://127.0.0.1:8391,cloud,cloud,BASE-Q01,identity_consent,core,completed,False,6.053716,132.79633299999995
cumulative,rdfs,1,5,data_lifecycle,True,http://127.0.0.1:8391,cloud,cloud,BASE-Q06,identity_consent,core,completed,False,6.053716,132.79633299999995
cumulative,rdfs,1,5,data_lifecycle,True,http://127.0.0.1:8391,cloud,cloud,BASE-Q15,identity_consent,core,completed,False,6.053716,132.79633299999995
cumulative,rdfs,1,5,data_lifecycle,True,http://127.0.0.1:8391,cloud,cloud,EXT-Q11,identity_consent,core,completed,False,6.053716,132.79633299999995
cumulative,rdfs,1,5,data_lifecycle,True,http://127.0.0.1:8391,cloud,cloud,EXT-Q12,identity_consent,core,completed,False,6.053716,132.79633299999995
cumulative,rdfs,1,5,data_lifecycle,True,http://127.0.0.1:8391,cloud,cloud,EXT-Q13,identity_consent,core,completed,False,6.053716,132.79633299999995
cumulative,rdfs,1,5,data_lifecycle,True,http://127.0.0.1:8391,cloud,cloud,EXT-Q14,identity_consent,core,completed,False,6.053716,132.79633299999995
cumulative,rdfs,1,5,data_lifecycle,True,http://127.0.0.1:8391,cloud,cloud,EXT-Q17,identity_consent,core,completed,False,6.053716,132.79633299999995
cumulative,rdfs,1,5,data_lifecycle,True,http://127.0.0.1:8391,cloud,cloud,EXT-Q20,identity_consent,core,completed,False,6.053716,132.79633299999995
cumulative,rdfs,1,5,data_lifecycle,True,http://127.0.0.1:8391,cloud,cloud,EXT-Q21,identity_consent,core,completed,False,6.053716,132.79633299999995
cumulative,rdfs,1,5,data_lifecycle,True,http://127.0.0.1:8391,cloud,cloud,EXT-Q23,data_lifecycle,core,completed,False,5.707883,132.79633299999995
cumulative,rdfs,1,5,data_lifecycle,True,http://127.0.0.1:8391,cloud,cloud,EXT-Q24,data_lifecycle,core,completed,False,5.707883,132.79633299999995
cumulative,rdfs,1,5,data_lifecycle,True,http://127.0.0.1:8391,cloud,cloud,EXT-Q34,data_lifecycle,core,completed,False,5.707883,132.79633299999995
cumulative,rdfs,1,5,data_lifecycle,True,http://127.0.0.1:8391,cloud,cloud,EXT-Q35,data_lifecycle,core,completed,False,5.707883,132.79633299999995
cumulative,rdfs,1,5,data_lifecycle,True,http://127.0.0.1:8391,cloud,cloud,BASE-Q02,topology,core,completed,False,5.028647,132.79633299999995
cumulative,rdfs,1,5,data_lifecycle,True,http://127.0.0.1:8391,cloud,cloud,BASE-Q23,topology,core,completed,False,5.028647,132.79633299999995
cumulative,rdfs,1,5,data_lifecycle,True,http://10.151.73.241:8391,fog,fog,EXT-Q01,semantic_schema,core,completed,False,29.248833,116.50409199999999
cumulative,rdfs,1,5,data_lifecycle,True,http://10.151.73.241:8391,fog,fog,BASE-Q28,identity_consent,domain,completed,False,30.941352,116.50409199999999
cumulative,rdfs,1,5,data_lifecycle,True,http://10.151.73.241:8391,fog,fog,EXT-Q19,identity_consent,core,completed,False,30.941352,116.50409199999999
cumulative,rdfs,1,5,data_lifecycle,True,http://10.151.73.241:8391,fog,fog,EXT-Q33,data_lifecycle,core,completed,False,25.372555,116.50409199999999
cumulative,rdfs,1,5,data_lifecycle,True,http://10.151.73.34:8391,edge1,edge,EXT-Q02,semantic_schema,core,completed,False,29.248926,135.899741
cumulative,rdfs,1,5,data_lifecycle,True,http://10.151.73.34:8391,edge1,edge,BASE-Q25,identity_consent,core,completed,False,28.979944,135.899741
cumulative,rdfs,1,5,data_lifecycle,True,http://10.151.73.34:8391,edge1,edge,EXT-Q16,identity_consent,core,completed,False,28.979944,135.899741
cumulative,rdfs,1,5,data_lifecycle,True,http://10.151.73.34:8391,edge1,edge,EXT-Q31,data_lifecycle,core,completed,False,27.556482,135.899741
cumulative,rdfs,1,5,data_lifecycle,True,http://10.151.73.34:8391,edge1,edge,BASE-Q34,topology,core,completed,False,21.134445,135.899741
cumulative,rdfs,1,5,data_lifecycle,True,http://10.151.73.143:8391,edge2,edge,BASE-Q33,observability,core,completed,False,34.712111,115.764647
cumulative,rdfs,1,5,data_lifecycle,True,http://10.151.73.143:8391,edge2,edge,BASE-Q31,identity_consent,core,completed,False,27.788944,115.764647
cumulative,rdfs,1,5,data_lifecycle,True,http://10.151.73.143:8391,edge2,edge,EXT-Q18,identity_consent,core,completed,False,27.788944,115.764647
cumulative,rdfs,1,5,data_lifecycle,True,http://10.151.73.143:8391,edge2,edge,EXT-Q32,data_lifecycle,core,completed,False,25.474648,115.764647
cumulative,rdfs,1,5,data_lifecycle,True,http://10.151.73.173:8391,edge3,edge,EXT-Q05,semantic_schema,core,completed,False,29.404611,133.94002
cumulative,rdfs,1,5,data_lifecycle,True,http://10.151.73.173:8391,edge3,edge,BASE-Q20,identity_consent,domain,completed,False,28.812351,133.94002
cumulative,rdfs,1,5,data_lifecycle,True,http://10.151.73.173:8391,edge3,edge,EXT-Q15,identity_consent,core,completed,False,28.812351,133.94002
cumulative,rdfs,1,5,data_lifecycle,True,http://10.151.73.173:8391,edge3,edge,EXT-Q25,data_lifecycle,domain,completed,False,26.100459,133.94002
cumulative,rdfs,1,5,data_lifecycle,True,http://10.151.73.173:8391,edge3,edge,BASE-Q29,topology,core,completed,False,20.810248,133.94002
cumulative,rdfs,1,6,security_identity,True,http://127.0.0.1:8391,cloud,cloud,EXT-Q22,security_identity,domain,completed,False,48.751138,264.21567400000004
