suite,reasoner,repetition,stage,added_category,calibration_reused,endpoint,role,tier_name,status,censored,reasoning_ms,generation_ms,prepare_transport_attempts,calibration_query_ms,calibration_transport_attempts,predicted_query_ms,measured_query_ms,query_count,query_transport_attempts
cumulative,rdfs,1,1,topology,True,http://127.0.0.1:8391,cloud,cloud,completed,False,343.164655,0.035708,1,283.90765,1,20.114588,14.195807,4,1
cumulative,rdfs,1,1,topology,True,http://10.151.73.241:8391,fog,fog,completed,False,1728.053332,0.094278,1,760.210832,1,0.0,0.0,0,0
cumulative,rdfs,1,1,topology,True,http://10.151.73.34:8391,edge1,edge,completed,False,1720.813999,0.098407,1,652.234261,1,0.0,0.0,0,0
cumulative,rdfs,1,1,topology,True,http://10.151.73.143:8391,edge2,edge,completed,False,1732.955777,0.105537,1,640.959484,1,0.0,0.0,0,0
cumulative,rdfs,1,1,topology,True,http://10.151.73.173:8391,edge3,edge,completed,False,1753.446952,0.091278,1,1765.4095049999999,1,0.0,0.0,0,0
cumulative,rdfs,1,2,semantic_schema,True,http://127.0.0.1:8391,cloud,cloud,completed,False,343.164655,0.035708,1,283.90765,1,29.235436,44.008884,4,1
cumulative,rdfs,1,2,semantic_schema,True,http://10.151.73.241:8391,fog,fog,completed,False,1728.053332,0.094278,1,760.210832,1,21.888944,15.821963,1,1
cumulative,rdfs,1,2,semantic_schema,True,http://10.151.73.34:8391,edge1,edge,completed,False,1720.813999,0.098407,1,652.234261,1,21.134445,20.080648,1,1
cumulative,rdfs,1,2,semantic_schema,True,http://10.151.73.143:8391,edge2,edge,completed,False,1732.955777,0.105537,1,640.959484,1,22.083,11.257945,1,1
cumulative,rdfs,1,2,semantic_schema,True,http://10.151.73.173:8391,edge3,edge,completed,False,1753.446952,0.091278,1,1765.4095049999999,1,20.810248,20.7186,1,1
cumulative,rdfs,1,3,observability,True,http://127.0.0.1:8391,cloud,cloud,completed,False,343.164655,0.035708,1,283.90765,1,49.427640999999994,187.410312,7,1
cumulative,rdfs,1,3,observability,True,http://10.151.73.241:8391,fog,fog,completed,False,1728.053332,0.094278,1,760.210832,1,29.248833,28.658555,1,1
cumulative,rdfs,1,3,observability,True,http://10.151.73.34:8391,edge1,edge,completed,False,1720.813999,0.098407,1,652.234261,1,50.383371,33.507074,2,1
cumulative,rdfs,1,3,observability,True,http://10.151.73.143:8391,edge2,edge,completed,False,1732.955777,0.105537,1,640.959484,1,34.712111,24.223759,1,1
cumulative,rdfs,1,3,observability,True,http://10.151.73.173:8391,edge3,edge,completed,False,1753.446952,0.091278,1,1765.4095049999999,1,50.214859000000004,78.987746,2,1
cumulative,rdfs,1,4,identity_consent,True,http://127.0.0.1:8391,cloud,cloud,completed,False,343.164655,0.035708,1,283.90765,1,109.96480099999998,111.06836299999999,17,1
cumulative,rdfs,1,4,identity_consent,True,http://10.151.73.241:8391,fog,fog,completed,False,1728.053332,0.094278,1,760.210832,1,91.131537,120.09816599999999,3,1
cumulative,rdfs,1,4,identity_consent,True,http://10.151.73.34:8391,edge1,edge,completed,False,1720.813999,0.098407,1,652.234261,1,108.343259,100.282665,4,1
cumulative,rdfs,1,4,identity_consent,True,http://10.151.73.143:8391,edge2,edge,completed,False,1732.955777,0.105537,1,640.959484,1,90.289999,66.659852,3,1
cumulative,rdfs,1,4,identity_consent,True,http://10.151.73.173:8391,edge3,edge,completed,False,1753.446952,0.091278,1,1765.4095049999999,1,107.839561,153.980081,4,1
cumulative,rdfs,1,5,data_lifecycle,True,http://127.0.0.1:8391,cloud,cloud,completed,False,343.164655,0.035708,1,283.90765,1,132.79633299999995,128.038007,21,1
cumulative,rdfs,1,5,data_lifecycle,True,http://10.151.73.241:8391,fog,fog,completed,False,1728.053332,0.094278,1,760.210832,1,116.50409199999999,178.67237,4,1
cumulative,rdfs,1,5,data_lifecycle,True,http://10.151.73.34:8391,edge1,edge,completed,False,1720.813999,0.098407,1,652.234261,1,135.899741,79.672962,5,1
cumulative,rdfs,1,5,data_lifecycle,True,http://10.151.73.143:8391,edge2,edge,completed,False,1732.955777,0.105537,1,640.959484,1,115.764647,77.750074,4,1
cumulative,rdfs,1,5,data_lifecycle,True,http://10.151.73.173:8391,edge3,edge,completed,False,1753.446952,0.091278,1,1765.4095049999999,1,133.94002,277.54438500000003,5,1
cumulative,rdfs,1,6,security_identity,True,http://127.0.0.1:8391,cloud,cloud,completed,False,343.164655,0.035708,1,283.90765,1,264.21567400000004,199.299866,16,1
cumulative,rdfs,1,6,security_identity,True,http://10.151.73.241:8391,fog,fog,completed,False,1728.053332,0.094278,1,760.210832,1,247.568313,164.04753599999998,8,1
cumulative,rdfs,1,6,security_identity,True,http://10.151.73.34:8391,edge1,edge,completed,False,1720.813999,0.098407,1,652.234261,1,260.08664799999997,131.04039,6,1
cumulative,rdfs,1,6,security_identity,True,http://10.151.73.143:8391,edge2,edge,completed,False,1732.955777,0.105537,1,640.959484,1,258.12933100000004,153.714778,6,1
cumulative,rdfs,1,6,security_identity,True,http://10.151.73.173:8391,edge3,edge,completed,False,1753.446952,0.091278,1,1765.4095049999999,1,266.932114,269.453762,9,1
cumulative,rdfs,1,7,context_zones,True,http://127.0.0.1:8391,cloud,cloud,completed,False,343.164655,0.035708,1,283.90765,1,275.807452,219.501269,19,1
cumulative,rdfs,1,7,context_zones,True,http://10.151.73.241:8391,fog,fog,completed,False,1728.053332,0.094278,1,760.210832,1,265.242998,183.680777,9,1
cumulative,rdfs,1,7,context_zones,True,http://10.151.73.34:8391,edge1,edge,completed,False,1720.813999,0.098407,1,652.234261,1,277.55459199999996,144.50298199999997,7,1
cumulative,rdfs,1,7,context_zones,True,http://10.151.73.143:8391,edge2,edge,completed,False,1732.955777,0.105537,1,640.959484,1,275.468739,213.671424,7,1
