reasoner,repetition,stage,added_category,calibration_reused,endpoint,role,tier_name,status,censored,query_id,category,tier,duration_ms,result_count,ask_result,result_digest
rdfs,1,1,topology,True,http://127.0.0.1:8391,cloud,cloud,completed,False,BASE-Q02,topology,core,5.042434,10,,39f270deae8081898e377feb8cea90d3bf032b2541ac9610114469b500359cac
rdfs,1,1,topology,True,http://127.0.0.1:8391,cloud,cloud,completed,False,BASE-Q23,topology,core,4.11197,1,,d521e7e5ef76f48fc1b2a145498f8ab56929b7196438802c95f65952e1ec1850
rdfs,1,1,topology,True,http://127.0.0.1:8391,cloud,cloud,completed,False,BASE-Q29,topology,core,2.786867,1,True,35df7182aa6c75e0a1066245f679b81ec9ad05e9964a0684980a466c9cc63ac4
rdfs,1,1,topology,True,http://127.0.0.1:8391,cloud,cloud,completed,False,BASE-Q34,topology,core,2.254536,1,,7c66062f36ae31e8068455da76c0bb4f918e7f6b8ecee7cd8a7946f3b6047884
rdfs,1,2,semantic_schema,True,http://127.0.0.1:8391,cloud,cloud,completed,False,EXT-Q01,semantic_schema,core,14.245685,6,,66d5edbbdc2282624ffec271a4a523a20fdc7331b886d2884edf86a885532bcc
rdfs,1,2,semantic_schema,True,http://127.0.0.1:8391,cloud,cloud,completed,False,EXT-Q02,semantic_schema,core,4.188352,3,,81bea9a8c2d4cf1237d7fb131249cc18ec4ca629eeabaadbd5f0b9b58d3e3333
rdfs,1,2,semantic_schema,True,http://127.0.0.1:8391,cloud,cloud,completed,False,EXT-Q05,semantic_schema,core,18.304155,17,,e0fc9190703b6a7b2695ddc448f5c7e54c4feeff2545477c3194ebfd8ccb1f0c
rdfs,1,2,semantic_schema,True,http://127.0.0.1:8391,cloud,cloud,completed,False,EXT-Q06,semantic_schema,core,7.270692,12,,1377568d225cfb45a1899c2ea951adf7ebda5ada4e188dbf5f114110484fa3ae
rdfs,1,2,semantic_schema,True,http://10.151.73.241:8391,fog,fog,completed,False,BASE-Q29,topology,core,15.821963,1,True,35df7182aa6c75e0a1066245f679b81ec9ad05e9964a0684980a466c9cc63ac4
rdfs,1,2,semantic_schema,True,http://10.151.73.34:8391,edge1,edge,completed,False,BASE-Q23,topology,core,20.080648,1,,d521e7e5ef76f48fc1b2a145498f8ab56929b7196438802c95f65952e1ec1850
