reasoner,repetition,synthetic_users,synthetic_triples,calibration_reused,endpoint,role,tier_name,status,censored,query_id,category,tier,duration_ms,result_count,ask_result,result_digest,failed_phase,timeout_seconds,error
rdfs,1,10,721,True,http://127.0.0.1:8391,cloud,cloud,completed,False,EXT-Q22,security_identity,domain,32.829939,0,,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,,,
rdfs,1,10,721,True,http://127.0.0.1:8391,cloud,cloud,completed,False,EXT-Q06,semantic_schema,core,3.810576,12,,1377568d225cfb45a1899c2ea951adf7ebda5ada4e188dbf5f114110484fa3ae,,,
rdfs,1,10,721,True,http://127.0.0.1:8391,cloud,cloud,completed,False,EXT-Q34,data_lifecycle,core,3.710237,0,,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,,,
rdfs,1,10,721,True,http://127.0.0.1:8391,cloud,cloud,completed,False,EXT-Q56,decision,core,13.047266,0,,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,,,
rdfs,1,10,721,True,http://127.0.0.1:8391,cloud,cloud,completed,False,EXT-Q26,security_identity,core,6.199982,14,,301d58db8e53bb19d51a1e9254a246aa00955e4c875a0168453a6d7b25c95df7,,,
rdfs,1,10,721,True,http://127.0.0.1:8391,cloud,cloud,completed,False,BASE-Q06,identity_consent,core,5.121781,10,,f8aebcef3bdb5c68142d34426190fd6a36c4b31394471c9c7602e6c19e67ff84,,,
rdfs,1,10,721,True,http://127.0.0.1:8391,cloud,cloud,completed,False,EXT-Q35,data_lifecycle,core,4.356574,16,,370fabce35bac59c55a67a27d2a800e45de2de8bb73a2ba8a556f0be10f29306,,,
rdfs,1,10,721,True,http://127.0.0.1:8391,cloud,cloud,completed,False,BASE-Q05,wellbeing,domain,4.738024,5,,4b096b851fd9e6935d2e2e6c7bd57464c473db58008af4b34e60338033a84d23,,,
rdfs,1,10,721,True,http://127.0.0.1:8391,cloud,cloud,completed,False,EXT-Q27,security_identity,core,20.819996,0,,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,,,
rdfs,1,10,721,True,http://127.0.0.1:8391,cloud,cloud,completed,False,BASE-Q28,identity_consent,domain,11.214971,0,False,92b91e0dd8f69dcc43f3c56062f944147504cf0d80f20c98005fda34c727fd7e,,,
rdfs,1,10,721,True,http://127.0.0.1:8391,cloud,cloud,completed,False,BASE-Q16,federation,core,5.639164,3,,550eeca87dc96402bbed090f1737eaacfb6b27d2290401797018cbcf303b8147,,,
rdfs,1,10,721,True,http://127.0.0.1:8391,cloud,cloud,completed,False,BASE-Q09,wellbeing,domain,6.926513,16,,7654d5623046770904ca4d90b9b66be759205e42c085d06fa9af092a1677a5fb,,,
rdfs,1,10,721,True,http://127.0.0.1:8391,cloud,cloud,completed,False,EXT-Q28,security_identity,core,4.822471,0,,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,,,
rdfs,1,10,721,True,http://127.0.0.1:8391,cloud,cloud,completed,False,BASE-Q31,identity_consent,core,4.167684,3,,65c3b5d67f22eaac6f974d9923765d1fafcd5514a94da5e0a872b73d08547028,,,
rdfs,1,10,721,True,http://127.0.0.1:8391,cloud,cloud,completed,False,EXT-Q67,federation,core,9.071358,0,,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,,,
rdfs,1,10,721,True,http://127.0.0.1:8391,cloud,cloud,completed,False,BASE-Q17,context_zones,domain,4.91709,1,,50b7b5a085e0802a1897953a959e0c9ea4c5f943dc26de55b2219ea7deac4b89,,,
rdfs,1,10,721,True,http://127.0.0.1:8391,cloud,cloud,completed,False,EXT-Q29,security_identity,core,4.206632,1,,5e56d4b1c34d01016304a6e8bc0397a3d6e7898ce43942ff1b6aab07b06810f2,,,
rdfs,1,10,721,True,http://127.0.0.1:8391,cloud,cloud,completed,False,EXT-Q11,identity_consent,core,11.008509,35,,92ba472a78003ed0a569eac39f1122f2dd582fd6da2e027e514546b71b97a3e7,,,
rdfs,1,10,721,True,http://127.0.0.1:8391,cloud,cloud,completed,False,EXT-Q68,federation,core,6.479694,0,,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,,,
rdfs,1,10,721,True,http://127.0.0.1:8391,cloud,cloud,completed,False,BASE-Q18,context_zones,core,2.89092,1,,200d4d55bb0d8b9374961d2df3fa99d83d8caf54dc79a7784bb84dd44b081eda,,,
