reasoner,repetition,stage,added_category,query_id,category,tier,execution_scope,authority,privacy_class,merge_strategy,source_roles,source_count,duration_ms,node_duration_ms_sum,result_count,ask_result,result_digest,status,censored
rdfs,1,1,topology,BASE-Q02,topology,core,authority_key:http://example.org/smartcity#UserB,data_owner,confidential,single,edge2,1,21.149759,21.149759,10,,39f270deae8081898e377feb8cea90d3bf032b2541ac9610114469b500359cac,completed,False
rdfs,1,1,topology,BASE-Q23,topology,core,authorities,data_owner,confidential,set_union,edge1|edge2|edge3,3,25.173235,64.29105,1,,d521e7e5ef76f48fc1b2a145498f8ab56929b7196438802c95f65952e1ec1850,completed,False
rdfs,1,1,topology,BASE-Q29,topology,core,fog,regional,internal,boolean_or,fog,1,14.649666,14.649666,1,True,35df7182aa6c75e0a1066245f679b81ec9ad05e9964a0684980a466c9cc63ac4,completed,False
rdfs,1,1,topology,BASE-Q34,topology,core,fog,regional,internal,single,fog,1,10.92463,10.92463,1,,7c66062f36ae31e8068455da76c0bb4f918e7f6b8ecee7cd8a7946f3b6047884,completed,False
rdfs,1,2,semantic_schema,BASE-Q02,topology,core,authority_key:http://example.org/smartcity#UserB,data_owner,confidential,single,edge2,1,201.368407,201.368407,10,,39f270deae8081898e377feb8cea90d3bf032b2541ac9610114469b500359cac,completed,False
rdfs,1,2,semantic_schema,BASE-Q23,topology,core,authorities,data_owner,confidential,set_union,edge1|edge2|edge3,3,27.436664,67.135238,1,,d521e7e5ef76f48fc1b2a145498f8ab56929b7196438802c95f65952e1ec1850,completed,False
rdfs,1,2,semantic_schema,BASE-Q29,topology,core,fog,regional,internal,boolean_or,fog,1,14.34587,14.34587,1,True,35df7182aa6c75e0a1066245f679b81ec9ad05e9964a0684980a466c9cc63ac4,completed,False
rdfs,1,2,semantic_schema,BASE-Q34,topology,core,fog,regional,internal,single,fog,1,11.743037,11.743037,1,,7c66062f36ae31e8068455da76c0bb4f918e7f6b8ecee7cd8a7946f3b6047884,completed,False
rdfs,1,2,semantic_schema,EXT-Q01,semantic_schema,core,cloud,global,internal,single,cloud,1,9.308626,9.308626,6,,66d5edbbdc2282624ffec271a4a523a20fdc7331b886d2884edf86a885532bcc,completed,False
rdfs,1,2,semantic_schema,EXT-Q02,semantic_schema,core,cloud,global,internal,single,cloud,1,8.047544,8.047544,3,,81bea9a8c2d4cf1237d7fb131249cc18ec4ca629eeabaadbd5f0b9b58d3e3333,completed,False
rdfs,1,2,semantic_schema,EXT-Q05,semantic_schema,core,cloud,global,internal,single,cloud,1,17.689754,17.689754,17,,e0fc9190703b6a7b2695ddc448f5c7e54c4feeff2545477c3194ebfd8ccb1f0c,completed,False
rdfs,1,2,semantic_schema,EXT-Q06,semantic_schema,core,cloud,global,internal,single,cloud,1,19.639914,19.639914,12,,1377568d225cfb45a1899c2ea951adf7ebda5ada4e188dbf5f114110484fa3ae,completed,False
rdfs,1,3,observability,BASE-Q02,topology,core,authority_key:http://example.org/smartcity#UserB,data_owner,confidential,single,edge2,1,20.964833,20.964833,10,,39f270deae8081898e377feb8cea90d3bf032b2541ac9610114469b500359cac,completed,False
rdfs,1,3,observability,BASE-Q07,observability,core,fog,regional,internal,single,fog,1,33.899112,33.899112,9,,6ab9f2d67891945d065c17bf6451ab7e68834c15b108b502d30881ce21a41d41,completed,False
rdfs,1,3,observability,BASE-Q08,observability,core,fog,regional,internal,single,fog,1,36.685963,36.685963,2,,6527f1e187dfa51f5dc78e109fe2d9fb47aed82a4ec8f897d1dda6ee6850aa0a,completed,False
rdfs,1,3,observability,BASE-Q10,observability,domain,authorities,data_owner,restricted,set_union,edge1|edge2|edge3,3,36.817732,88.569046,4,,dc1945b8d3d731da5dda5ae28880ce8a9838cca18304c22607a926bb4d4d94ea,completed,False
rdfs,1,3,observability,BASE-Q23,topology,core,authorities,data_owner,confidential,set_union,edge1|edge2|edge3,3,27.879405,66.460943,1,,d521e7e5ef76f48fc1b2a145498f8ab56929b7196438802c95f65952e1ec1850,completed,False
rdfs,1,3,observability,BASE-Q26,observability,core,fog,regional,internal,boolean_or,fog,1,5.749296,5.749296,1,True,35df7182aa6c75e0a1066245f679b81ec9ad05e9964a0684980a466c9cc63ac4,completed,False
rdfs,1,3,observability,BASE-Q29,topology,core,fog,regional,internal,boolean_or,fog,1,14.130982,14.130982,1,True,35df7182aa6c75e0a1066245f679b81ec9ad05e9964a0684980a466c9cc63ac4,completed,False
rdfs,1,3,observability,BASE-Q33,observability,core,authority_key:http://example.org/smartcity#UserB,data_owner,confidential,single,edge2,1,22.564074,22.564074,6,,132cf832480158fd75f2c60ab529bddf4c7fc3fc61aa2696543511925a74c8c0,completed,False
rdfs,1,3,observability,BASE-Q34,topology,core,fog,regional,internal,single,fog,1,11.202185,11.202185,1,,7c66062f36ae31e8068455da76c0bb4f918e7f6b8ecee7cd8a7946f3b6047884,completed,False
rdfs,1,3,observability,EXT-Q01,semantic_schema,core,cloud,global,internal,single,cloud,1,6.750927,6.750927,6,,66d5edbbdc2282624ffec271a4a523a20fdc7331b886d2884edf86a885532bcc,completed,False
rdfs,1,3,observability,EXT-Q02,semantic_schema,core,cloud,global,internal,single,cloud,1,4.390429,4.390429,3,,81bea9a8c2d4cf1237d7fb131249cc18ec4ca629eeabaadbd5f0b9b58d3e3333,completed,False
rdfs,1,3,observability,EXT-Q05,semantic_schema,core,cloud,global,internal,single,cloud,1,16.87499,16.87499,17,,e0fc9190703b6a7b2695ddc448f5c7e54c4feeff2545477c3194ebfd8ccb1f0c,completed,False
rdfs,1,3,observability,EXT-Q06,semantic_schema,core,cloud,global,internal,single,cloud,1,3.396747,3.396747,12,,1377568d225cfb45a1899c2ea951adf7ebda5ada4e188dbf5f114110484fa3ae,completed,False
rdfs,1,4,identity_consent,BASE-Q01,identity_consent,core,authorities,data_owner,confidential,set_union,edge1|edge2|edge3,3,27.562516,81.159201,4,,4547c8c0fa291f2f53c5d8a46262367b16b231b6036ba566c847c65bb4c97838,completed,False
rdfs,1,4,identity_consent,BASE-Q02,topology,core,authority_key:http://example.org/smartcity#UserB,data_owner,confidential,single,edge2,1,20.963462,20.963462,10,,39f270deae8081898e377feb8cea90d3bf032b2541ac9610114469b500359cac,completed,False
rdfs,1,4,identity_consent,BASE-Q06,identity_consent,core,cloud,global,internal,single,cloud,1,8.477408,8.477408,10,,f8aebcef3bdb5c68142d34426190fd6a36c4b31394471c9c7602e6c19e67ff84,completed,False
rdfs,1,4,identity_consent,BASE-Q07,observability,core,fog,regional,internal,single,fog,1,34.360167,34.360167,9,,6ab9f2d67891945d065c17bf6451ab7e68834c15b108b502d30881ce21a41d41,completed,False
rdfs,1,4,identity_consent,BASE-Q08,observability,core,fog,regional,internal,single,fog,1,37.311815,37.311815,2,,6527f1e187dfa51f5dc78e109fe2d9fb47aed82a4ec8f897d1dda6ee6850aa0a,completed,False
rdfs,1,4,identity_consent,BASE-Q10,observability,domain,authorities,data_owner,restricted,set_union,edge1|edge2|edge3,3,26.557037,79.051534,4,,dc1945b8d3d731da5dda5ae28880ce8a9838cca18304c22607a926bb4d4d94ea,completed,False
rdfs,1,4,identity_consent,BASE-Q15,identity_consent,core,authorities,data_owner,confidential,set_union,edge1|edge2|edge3,3,11.874852,34.828217,1,,7ac55bded7c8d1294bfcac4ddeb28b5921a8083a19185e216bf5d1c0d62bd370,completed,False
rdfs,1,4,identity_consent,BASE-Q20,identity_consent,domain,authorities,data_owner,restricted,set_union,edge1|edge2|edge3,3,23.6865,68.66064,4,,c4008c5d4a19afaa7107e1d07ba73e2440adc716bd8db9d4a9d4f85884e6e6ab,completed,False
rdfs,1,4,identity_consent,BASE-Q23,topology,core,authorities,data_owner,confidential,set_union,edge1|edge2|edge3,3,20.363111,57.99206,1,,d521e7e5ef76f48fc1b2a145498f8ab56929b7196438802c95f65952e1ec1850,completed,False
rdfs,1,4,identity_consent,BASE-Q25,identity_consent,core,authorities,data_owner,confidential,set_union,edge1|edge2|edge3,3,13.741591,40.072202,1,,4591a69ecb6837fd65b28a9688ad10f0fb7b8ca54c1a6ac395ef142fc831cfbf,completed,False
rdfs,1,4,identity_consent,BASE-Q26,observability,core,fog,regional,internal,boolean_or,fog,1,5.735722,5.735722,1,True,35df7182aa6c75e0a1066245f679b81ec9ad05e9964a0684980a466c9cc63ac4,completed,False
rdfs,1,4,identity_consent,BASE-Q28,identity_consent,domain,authorities,data_owner,restricted,boolean_or,edge1|edge2|edge3,3,53.58137,141.721482,0,False,92b91e0dd8f69dcc43f3c56062f944147504cf0d80f20c98005fda34c727fd7e,completed,False
rdfs,1,4,identity_consent,BASE-Q29,topology,core,fog,regional,internal,boolean_or,fog,1,14.209018,14.209018,1,True,35df7182aa6c75e0a1066245f679b81ec9ad05e9964a0684980a466c9cc63ac4,completed,False
rdfs,1,4,identity_consent,BASE-Q31,identity_consent,core,cloud,global,internal,single,cloud,1,5.616353,5.616353,3,,8f8af6537cdd2b25ebfbb6f6e08414144fcbc319948609c1afa5eb440e09b376,completed,False
rdfs,1,4,identity_consent,BASE-Q33,observability,core,authority_key:http://example.org/smartcity#UserB,data_owner,confidential,single,edge2,1,23.3865,23.3865,6,,132cf832480158fd75f2c60ab529bddf4c7fc3fc61aa2696543511925a74c8c0,completed,False
rdfs,1,4,identity_consent,BASE-Q34,topology,core,fog,regional,internal,single,fog,1,10.727074,10.727074,1,,7c66062f36ae31e8068455da76c0bb4f918e7f6b8ecee7cd8a7946f3b6047884,completed,False
