reasoner,repetition,stage,added_category,status,censored,node_count,query_count,source_query_executions,federation_fanout_factor,prepare_wall_ms,node_generation_ms_sum,node_reasoning_ms_sum,max_node_reasoning_ms,query_wall_ms,prepare_transport_retry_count,query_transport_retry_count,node_query_batch_count_sum,max_node_query_batch_count,node_query_ms_sum,node_prepare_process_cpu_ms_sum,node_query_process_cpu_ms_sum,total_process_cpu_ms,max_node_prepare_peak_rss_kib,max_node_query_peak_rss_kib,max_node_peak_rss_kib,sum_node_prepare_current_rss_kib,sum_node_query_current_rss_kib,max_sum_node_current_rss_kib,prepare_request_bytes_sum,prepare_response_bytes_sum,query_request_bytes_sum,query_response_bytes_sum,total_wall_ms,logical_input_triples,aggregate_fragment_triples,aggregate_output_triples,aggregate_inferred_triples,max_fragment_triples,max_fragment_fraction,storage_replication_factor
rdfs,1,1,topology,completed,False,5,4,6,1.5,2367.158462,2252.1174419999998,6079.642084,1691.424092,60.962744,0,0,4,1,111.015105,8950.054729,111.776074,9061.830803,255756,76368,255756,455404,246216,455404,500,3377,372,4409,2428.121206,7966,33330,52247,18917,7204,0.9043434597037409,4.184032136580467
rdfs,1,2,semantic_schema,completed,False,5,8,10,1.25,2367.158462,2252.1174419999998,6079.642084,1691.424092,238.405734,0,0,5,1,349.27839,8950.054729,350.054123,9300.108852,255756,255756,255756,455404,453100,455404,500,3377,491,10641,2605.564196,7966,33330,52247,18917,7204,0.9043434597037409,4.184032136580467
rdfs,1,3,observability,completed,False,5,13,17,1.3076923076923077,2367.158462,2252.1174419999998,6079.642084,1691.424092,170.88185099999998,0,0,6,2,331.639527,8950.054729,332.835671,9282.8904,255756,255756,255756,455404,453100,455404,500,3377,650,15406,2538.040313,7966,33330,52247,18917,7204,0.9043434597037409,4.184032136580467
rdfs,1,4,identity_consent,completed,False,5,31,67,2.161290322580645,2367.158462,2252.1174419999998,6079.642084,1691.424092,638.175974,0,0,19,5,1503.38579,8950.054729,1506.979605,10457.034334,255756,255756,255756,455404,453100,455404,500,3377,2192,50296,3005.334436,7966,33330,52247,18917,7204,0.9043434597037409,4.184032136580467
rdfs,1,5,data_lifecycle,completed,False,5,39,91,2.3333333333333335,2367.158462,2252.1174419999998,6079.642084,1691.424092,830.6095560000001,0,0,25,7,2031.5428650000001,8950.054729,2036.3739580000001,10986.428687,255756,255756,255756,455404,450076,455404,500,3377,2906,60232,3197.7680179999998,7966,33330,52247,18917,7204,0.9043434597037409,4.184032136580467
rdfs,1,6,security_identity,completed,False,5,45,105,2.3333333333333335,2367.158462,2252.1174419999998,6079.642084,1691.424092,1344.294772,0,0,28,8,2827.990619,8950.054729,2832.866476,11782.921205,255756,255756,255756,455404,448140,455404,500,3377,3285,65706,3711.4532339999996,7966,33330,52247,18917,7204,0.9043434597037409,4.184032136580467
rdfs,1,7,context_zones,completed,False,5,51,119,2.3333333333333335,2367.158462,2252.1174419999998,6079.642084,1691.424092,1488.7893450000001,0,0,31,9,3099.79198,8950.054729,3106.311691,12056.36642,255756,255756,255756,455404,446084,455404,500,3377,3670,71685,3855.947807,7966,33330,52247,18917,7204,0.9043434597037409,4.184032136580467
rdfs,1,8,trust,completed,False,5,57,129,2.263157894736842,2367.158462,2252.1174419999998,6079.642084,1691.424092,1628.6293710000002,0,0,34,10,3472.347789,8950.054729,3476.3092229999997,12426.363952,255756,255756,255756,455404,446084,455404,500,3377,4005,78883,3995.7878330000003,7966,33330,52247,18917,7204,0.9043434597037409,4.184032136580467
rdfs,1,9,decision,completed,False,5,74,174,2.3513513513513513,2367.158462,2252.1174419999998,6079.642084,1691.424092,2129.212577,0,0,45,14,4829.092557,8950.054729,4835.269982,13785.324711,255756,255756,255756,455404,446084,455404,500,3377,5331,112133,4496.371039,7966,33330,52247,18917,7204,0.9043434597037409,4.184032136580467
rdfs,1,10,policy_governance,completed,False,5,82,182,2.2195121951219514,2367.158462,2252.1174419999998,6079.642084,1691.424092,2170.588226,0,0,47,14,5035.027903,8950.054729,5045.086687999999,13995.141417,255756,255756,255756,455404,446084,455404,500,3377,5569,229917,4537.746687999999,7966,33330,52247,18917,7204,0.9043434597037409,4.184032136580467
