reasoner,repetition,synthetic_users,synthetic_triples,query_id,category,tier,execution_scope,authority,privacy_class,merge_strategy,source_roles,source_count,duration_ms,node_duration_ms_sum,result_count,ask_result,result_digest,status,censored,failed_phase,timeout_seconds,error
rdfs,1,10,721,BASE-Q01,identity_consent,core,authorities,data_owner,confidential,set_union,edge1|edge2|edge3,3,45.208352,102.214108,14,,0c349a47410857bdf39d17fddeb9f2fb1f83945b742ce73aa8d2de39c6956b96,completed,False,,,
rdfs,1,10,721,BASE-Q02,topology,core,authority_key:http://example.org/smartcity#UserB,data_owner,confidential,single,edge2,1,21.03337,21.03337,11,,363f868a57a5e5f601b8d524b05460273fbf45427eb805af595f694133371b51,completed,False,,,
rdfs,1,10,721,BASE-Q03,wellbeing,domain,authorities,data_owner,restricted,set_union,edge1|edge2|edge3,3,19.706445,57.753856,14,,78a62a2fe8a260fee54aa4c92c727ab64a08c27c3ecf06604d077c9bc1bea0c7,completed,False,,,
rdfs,1,10,721,BASE-Q04,decision,core,authority_key:http://example.org/smartcity#UserB,data_owner,confidential,single,edge2,1,22.337352,22.337352,7,,cc222a87554e870ffae43cba023647670c0589b8ec1b4500dd1d797a399c3bf2,completed,False,,,
rdfs,1,10,721,BASE-Q05,wellbeing,domain,authorities,data_owner,restricted,set_union,edge1|edge2|edge3,3,19.975722,57.43906,5,,4b096b851fd9e6935d2e2e6c7bd57464c473db58008af4b34e60338033a84d23,completed,False,,,
rdfs,1,10,721,BASE-Q06,identity_consent,core,cloud,global,internal,single,cloud,1,3.937226,3.937226,10,,f8aebcef3bdb5c68142d34426190fd6a36c4b31394471c9c7602e6c19e67ff84,completed,False,,,
rdfs,1,10,721,BASE-Q07,observability,core,fog,regional,internal,single,fog,1,172.933111,172.933111,10,,86419d85b77be1282bde98480ecfa16f261a06d3180f063da4ea1bb1c119af67,completed,False,,,
rdfs,1,10,721,BASE-Q08,observability,core,fog,regional,internal,single,fog,1,37.448537,37.448537,2,,6527f1e187dfa51f5dc78e109fe2d9fb47aed82a4ec8f897d1dda6ee6850aa0a,completed,False,,,
rdfs,1,10,721,BASE-Q09,wellbeing,domain,authorities,data_owner,restricted,set_union,edge1|edge2|edge3,3,25.437167,70.81063900000001,16,,7654d5623046770904ca4d90b9b66be759205e42c085d06fa9af092a1677a5fb,completed,False,,,
rdfs,1,10,721,BASE-Q10,observability,domain,authorities,data_owner,restricted,set_union,edge1|edge2|edge3,3,29.871796,85.288497,14,,ebfceaa48c74f82d223484d33010433799771f8412f64624d32eeb638d1d53b7,completed,False,,,
rdfs,1,10,721,BASE-Q11,wellbeing,core,authority_key:http://example.org/smartcity#UserA,data_owner,confidential,single,edge1,1,14.541686,14.541686,1,,941d461ce01f2fa52ba95291e46e52524d75bd44e2b938eab7e81404936a8b7c,completed,False,,,
rdfs,1,10,721,BASE-Q12,adaptation,core,authorities,data_owner,confidential,set_union,edge1|edge2|edge3,3,14.742074,43.224202,1,,ddcd6b8cd42f3d2e1f6aa052eeeca5d4423f9db85cdc91915481db3956dfffff,completed,False,,,
rdfs,1,10,721,BASE-Q13,adaptation,core,authorities,data_owner,confidential,set_union,edge1|edge2|edge3,3,18.427926,53.586078,1,,25e56d4be1969d1d6de5386e2c3ff26456f8069edb7847a9dc7e32a9b09c8948,completed,False,,,
rdfs,1,10,721,BASE-Q14,delegation,core,authority_key:http://example.org/smartcity#UserA,data_owner,confidential,single,edge1,1,17.242167,17.242167,1,,dcd8c3258e95549dde016df10cf22183c036214d75d30e686ca7ac2fb5ea3271,completed,False,,,
rdfs,1,10,721,BASE-Q15,identity_consent,core,authorities,data_owner,confidential,set_union,edge1|edge2|edge3,3,12.333186,34.805681,1,,7ac55bded7c8d1294bfcac4ddeb28b5921a8083a19185e216bf5d1c0d62bd370,completed,False,,,
rdfs,1,10,721,BASE-Q16,federation,core,authorities,data_owner,confidential,set_union,edge1|edge2|edge3,3,26.806629,75.030085,3,,550eeca87dc96402bbed090f1737eaacfb6b27d2290401797018cbcf303b8147,completed,False,,,
rdfs,1,10,721,BASE-Q17,context_zones,domain,authorities,data_owner,restricted,set_union,edge1|edge2|edge3,3,17.656003,50.758244000000005,1,,50b7b5a085e0802a1897953a959e0c9ea4c5f943dc26de55b2219ea7deac4b89,completed,False,,,
rdfs,1,10,721,BASE-Q18,context_zones,core,authorities,data_owner,confidential,set_union,edge1|edge2|edge3,3,10.453834,30.928088000000002,1,,200d4d55bb0d8b9374961d2df3fa99d83d8caf54dc79a7784bb84dd44b081eda,completed,False,,,
rdfs,1,10,721,BASE-Q19,decision,core,fog,regional,internal,single,fog,1,34.812963,34.812963,5,,14ff5f393f619913b6627f132ac802eb3d0b2560e5619a0d995e34dac1f39b45,completed,False,,,
rdfs,1,10,721,BASE-Q20,identity_consent,domain,authorities,data_owner,restricted,set_union,edge1|edge2|edge3,3,25.872611,75.402846,14,,aec9decbbbba2e3cd769dad408cb52c99918afe22ae8b88c47458f4f8eb80777,completed,False,,,
rdfs,1,10,721,BASE-Q21,decision,core,authorities,data_owner,confidential,set_union,edge1|edge2|edge3,3,31.315426,84.171532,11,,7fc13e36a90de226eedecbd26ccd453be5ba11798c2c5af4a7d857a15cbb7e1e,completed,False,,,
rdfs,1,10,721,BASE-Q22,adaptation,core,authorities,data_owner,confidential,set_union,edge1|edge2|edge3,3,24.42737,71.342233,3,,70205401426a8e8adbf4220710b3638c6a47af2e7e7264f0b771b1bcbb070e80,completed,False,,,
rdfs,1,10,721,BASE-Q23,topology,core,authorities,data_owner,confidential,set_union,edge1|edge2|edge3,3,21.631797,63.893249999999995,11,,ab28b001dc7dad484970573565561e81101f03147af46054afb9531199409a97,completed,False,,,
rdfs,1,10,721,BASE-Q24,federation,core,authorities,data_owner,confidential,set_union,edge1|edge2|edge3,3,28.961315,80.011311,5,,0d4871d54d4eadbfa110f9223c2a6b641ea8c65326db34ade1288d5eab5ceb54,completed,False,,,
rdfs,1,10,721,BASE-Q25,identity_consent,core,authorities,data_owner,confidential,set_union,edge1|edge2|edge3,3,13.430203,39.029664,1,,4591a69ecb6837fd65b28a9688ad10f0fb7b8ca54c1a6ac395ef142fc831cfbf,completed,False,,,
rdfs,1,10,721,BASE-Q26,observability,core,fog,regional,internal,boolean_or,fog,1,5.932963,5.932963,1,True,35df7182aa6c75e0a1066245f679b81ec9ad05e9964a0684980a466c9cc63ac4,completed,False,,,
rdfs,1,10,721,BASE-Q27,adaptation,core,authorities,data_owner,confidential,boolean_or,edge1|edge2|edge3,3,9.06213,25.790455,1,True,35df7182aa6c75e0a1066245f679b81ec9ad05e9964a0684980a466c9cc63ac4,completed,False,,,
rdfs,1,10,721,BASE-Q28,identity_consent,domain,authorities,data_owner,restricted,boolean_or,edge1|edge2|edge3,3,64.949704,162.579961,0,False,92b91e0dd8f69dcc43f3c56062f944147504cf0d80f20c98005fda34c727fd7e,completed,False,,,
rdfs,1,10,721,BASE-Q29,topology,core,fog,regional,internal,boolean_or,fog,1,14.016666,14.016666,1,True,35df7182aa6c75e0a1066245f679b81ec9ad05e9964a0684980a466c9cc63ac4,completed,False,,,
rdfs,1,10,721,BASE-Q30,federation,core,authorities,data_owner,confidential,boolean_or,edge1|edge2|edge3,3,7.128796,20.743546000000002,1,True,35df7182aa6c75e0a1066245f679b81ec9ad05e9964a0684980a466c9cc63ac4,completed,False,,,
rdfs,1,10,721,BASE-Q31,identity_consent,core,cloud,global,internal,single,cloud,1,3.909966,3.909966,3,,65c3b5d67f22eaac6f974d9923765d1fafcd5514a94da5e0a872b73d08547028,completed,False,,,
rdfs,1,10,721,BASE-Q32,decision,core,fog,regional,internal,single,fog,1,16.192167,16.192167,4,,b91031de6b6257d2428b9195175f3c860291b874d6603c50eb4713a1b65b2628,completed,False,,,
rdfs,1,10,721,BASE-Q33,observability,core,authority_key:http://example.org/smartcity#UserB,data_owner,confidential,single,edge2,1,27.397352,27.397352,6,,c948862aeae8a7991e67a92cdd4493bfbfb9d01ab0d6a6296c3f1f31ee941004,completed,False,,,
rdfs,1,10,721,BASE-Q34,topology,core,fog,regional,internal,single,fog,1,10.785944,10.785944,1,,7c66062f36ae31e8068455da76c0bb4f918e7f6b8ecee7cd8a7946f3b6047884,completed,False,,,
rdfs,1,10,721,BASE-Q35,delegation,core,authorities,data_owner,confidential,set_union,edge1|edge2|edge3,3,180.585856,269.392281,180,,496f817f7c8ccec2b677b93877c2e54259f1052bee3fa9bbc330cf1af1a46630,completed,False,,,
rdfs,1,10,721,EXT-Q01,semantic_schema,core,cloud,global,internal,single,cloud,1,6.486996,6.486996,6,,66d5edbbdc2282624ffec271a4a523a20fdc7331b886d2884edf86a885532bcc,completed,False,,,
rdfs,1,10,721,EXT-Q02,semantic_schema,core,cloud,global,internal,single,cloud,1,4.851631,4.851631,3,,81bea9a8c2d4cf1237d7fb131249cc18ec4ca629eeabaadbd5f0b9b58d3e3333,completed,False,,,
rdfs,1,10,721,EXT-Q03,policy_governance,core,cloud,global,internal,single,cloud,1,15.441043,15.441043,79,,d73ae3d5ddfcd345147bae778101c21ab13194fca3fa92ad08259d39931b66d5,completed,False,,,
rdfs,1,10,721,EXT-Q04,policy_governance,core,cloud,global,internal,single,cloud,1,13.852378,13.852378,55,,fced7e97d29b215a8321753998b7519dc1825dacc4af090c67ffc54bee4479bc,completed,False,,,
rdfs,1,10,721,EXT-Q05,semantic_schema,core,cloud,global,internal,single,cloud,1,17.342831,17.342831,17,,e0fc9190703b6a7b2695ddc448f5c7e54c4feeff2545477c3194ebfd8ccb1f0c,completed,False,,,
rdfs,1,10,721,EXT-Q06,semantic_schema,core,cloud,global,internal,single,cloud,1,3.476982,3.476982,12,,1377568d225cfb45a1899c2ea951adf7ebda5ada4e188dbf5f114110484fa3ae,completed,False,,,
rdfs,1,10,721,EXT-Q07,policy_governance,core,cloud,global,internal,single,cloud,1,9.155309,9.155309,67,,c3cf27e703656fdaa8295f23b31076c1afcb14a5022b1b47538e2961fe033646,completed,False,,,
rdfs,1,10,721,EXT-Q08,policy_governance,core,cloud,global,internal,single,cloud,1,55.713635,55.713635,1089,,cb9e0103c9327f1c4691ec9d7612deebd04c0e73140f23e2a6209bb8af1efc51,completed,False,,,
rdfs,1,10,721,EXT-Q09,policy_governance,core,cloud,global,internal,single,cloud,1,14.103527,14.103527,6,,68de07660e010156bf3f3ea01000180657c8e8fc155ac9a053c3a64dbc538102,completed,False,,,
rdfs,1,10,721,EXT-Q10,policy_governance,core,cloud,global,internal,single,cloud,1,39.481544,39.481544,0,,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,completed,False,,,
rdfs,1,10,721,EXT-Q11,identity_consent,core,authorities,data_owner,confidential,set_union,edge1|edge2|edge3,3,28.819092,79.31769800000001,35,,92ba472a78003ed0a569eac39f1122f2dd582fd6da2e027e514546b71b97a3e7,completed,False,,,
