reasoner,repetition,synthetic_users,synthetic_triples,status,censored,node_count,query_count,source_query_executions,federation_fanout_factor,prepare_wall_ms,node_generation_ms_sum,node_reasoning_ms_sum,max_node_reasoning_ms,query_wall_ms,prepare_transport_retry_count,query_transport_retry_count,node_query_batch_count_sum,max_node_query_batch_count,node_query_ms_sum,node_prepare_process_cpu_ms_sum,node_query_process_cpu_ms_sum,total_process_cpu_ms,max_node_prepare_peak_rss_kib,max_node_query_peak_rss_kib,max_node_peak_rss_kib,sum_node_prepare_current_rss_kib,sum_node_query_current_rss_kib,max_sum_node_current_rss_kib,prepare_request_bytes_sum,prepare_response_bytes_sum,query_request_bytes_sum,query_response_bytes_sum,total_wall_ms,logical_input_triples,aggregate_fragment_triples,aggregate_output_triples,aggregate_inferred_triples,max_fragment_triples,max_fragment_fraction,storage_replication_factor,failed_phase,error,timeout_seconds,censored_lower_bound_ms
rdfs,1,10,721,completed,False,5,115,269,2.3391304347826085,2566.884083,2357.777379,6367.341119,1704.038592,4915.475695000001,0,0,69,21,8120.0925910000005,9276.890505,8135.589516,17412.480021,255756,255756,255756,432676,426288,432676,505,3394,8211,350938,7482.359778000001,8687,34235,53840,19605,7505,0.8639346149418672,3.9409462415103027,,,,
rdfs,2,10,721,completed,False,5,115,269,2.3391304347826085,2464.828511,2375.362988,6312.306373,1759.486184,4005.4284019999996,0,0,69,21,8084.461067,9129.147581,8100.218296,17229.365877,255756,255756,255756,427312,426544,427312,505,3395,8211,350912,6470.256912999999,8687,34235,53840,19605,7505,0.8639346149418672,3.9409462415103027,,,,
rdfs,3,10,721,completed,False,5,115,269,2.3391304347826085,2343.244165,2339.9754909999997,6272.38315,1643.662221,4147.449372000001,0,0,69,21,7868.339961000001,9134.188512,7883.403829,17017.592341,255756,255756,255756,427264,427264,427264,505,3395,8211,350914,6490.693537000001,8687,34235,53840,19605,7505,0.8639346149418672,3.9409462415103027,,,,
owlrl,1,10,721,completed,False,5,115,269,2.3391304347826085,8273.577122,2538.167318,27498.310127,7193.815885,3994.7409250000005,0,0,69,21,7660.37271,30582.695739000003,7676.081255,38258.776994,255756,255756,255756,425204,424052,425204,510,3402,8211,352767,12268.318047,8687,34235,70059,35824,7505,0.8639346149418672,3.9409462415103027,,,,
owlrl,2,10,721,completed,False,5,115,269,2.3391304347826085,7922.631938,2521.115659,27292.06971,7171.30007,3930.4641440000005,0,0,69,21,7789.826618,30471.144819,7804.525946,38275.670765,255756,255756,255756,424296,424040,424296,510,3401,8211,352763,11853.096082,8687,34235,70059,35824,7505,0.8639346149418672,3.9409462415103027,,,,
owlrl,3,10,721,completed,False,5,115,269,2.3391304347826085,8022.577646,2503.736113,27284.924023,7120.973051,3932.9363470000008,0,0,69,21,7834.61489,30451.28404,7849.341146,38300.625186,255756,255756,255756,424448,423040,424448,510,3403,8211,352725,11955.513993,8687,34235,70059,35824,7505,0.8639346149418672,3.9409462415103027,,,,
rdfs_owlrl,1,10,721,completed,False,5,115,269,2.3391304347826085,14675.861298,2592.486043,52458.948463,13653.141751,4449.91764,0,0,69,21,8573.011343,55595.685373,8588.591439,64184.276812,255756,255756,255756,428780,426836,428780,535,3440,8211,358782,19125.778938,8687,34235,103012,68777,7505,0.8639346149418672,3.9409462415103027,,,,
rdfs_owlrl,2,10,721,completed,False,5,115,269,2.3391304347826085,14381.412182,2407.998989,52648.6071,13676.319936,5779.345559,0,0,69,21,8406.513698,55474.757686,8415.733384,63890.491070000004,255756,255756,255756,437348,431268,437348,535,3440,8211,358758,20160.757741,8687,34235,103012,68777,7505,0.8639346149418672,3.9409462415103027,,,,
rdfs_owlrl,3,10,721,completed,False,5,115,269,2.3391304347826085,14465.76478,2385.460111,52527.549149,13631.380492,4730.529653000001,0,0,69,21,8460.790326,55450.649474,8472.780993,63923.430467,255756,255756,255756,439532,429512,439532,535,3440,8211,358740,19196.294433000003,8687,34235,103012,68777,7505,0.8639346149418672,3.9409462415103027,,,,
rdfs,1,100,7021,completed,False,5,115,269,2.3391304347826085,3215.907224,3083.3506340000004,7684.686414,2158.619517,6066.876476,0,0,69,21,10405.977624,11573.953934,10422.351754,21996.305688,255756,255756,255756,434184,428092,434184,510,3410,8211,583653,9282.7837,14987,41435,65450,24015,9605,0.6408887702675652,2.7647294321745512,,,,
rdfs,2,100,7021,completed,False,5,115,269,2.3391304347826085,3119.80784,2813.440359,7916.492270999999,2147.122924,5492.698778000001,0,0,69,21,10187.186538,11595.364559,10203.940415000001,21799.304974,255756,255756,255756,430908,428428,430908,510,3407,8211,583691,8612.506618000001,14987,41435,65450,24015,9605,0.6408887702675652,2.7647294321745512,,,,
